"time","target_1","target_2","coefficient_w_mean","coefficient_w_sd","link_perc"
"2018-01-06","Sagenista_61_1","Actinobacteria_410_1_tp_2",0,0,0
"2018-01-06","Sagenista_61_1","Actinobacteria_410_2_tp_2",-0.00128325508514292,0.0000151116663923939,9.09090909090909
"2018-01-06","Sagenista_61_1","Archaea_164_1_tp_2",0.0156402054832841,0.00112864026687936,18.1818181818182
"2018-01-06","Sagenista_61_1","Archaea_164_2_tp_2",0,0,0
"2018-01-06","Sagenista_61_1","Archaea_179_1_tp_2",0,0,0
"2018-01-06","Sagenista_61_1","Bacillariophyta_100_1_tp_2",0,0,0
"2018-01-06","Sagenista_61_1","Bacillariophyta_123_1_tp_2",0,0,0
"2018-01-06","Sagenista_61_1","Bacillariophyta_138_1_tp_2",0,0,0
"2018-01-06","Sagenista_61_1","Bacillariophyta_196_1_tp_2",0,0,0
"2018-01-06","Sagenista_61_1","Bacillariophyta_219_1_tp_2",0.00447532269342219,0.000109293679348505,18.1818181818182
"2018-01-06","Sagenista_61_1","Bacillariophyta_29_1_tp_2",0,0,0
"2018-01-06","Sagenista_61_1","Bacillariophyta_31_1_tp_2",-0.00100101816220113,0.00000478867652066074,18.1818181818182
"2018-01-06","Sagenista_61_1","Bacillariophyta_44_1_tp_2",0,0,0
"2018-01-06","Sagenista_61_1","Bacteroidetes_1151_1_tp_2",-0.00227918509224001,0.000047670044883126,9.09090909090909
"2018-01-06","Sagenista_61_1","Bacteroidetes_1166_1_tp_2",0,0,0
"2018-01-06","Sagenista_61_1","Bacteroidetes_1166_2_tp_2",-0.00214328423319757,0.0000421546907781105,9.09090909090909
"2018-01-06","Sagenista_61_1","Bacteroidetes_1167_1_tp_2",0,0,0
"2018-01-06","Sagenista_61_1","Bacteroidetes_1178_1_tp_2",0,0,0
"2018-01-06","Sagenista_61_1","Bacteroidetes_1186_1_tp_2",0.00182431882676742,0.0000299470274575493,9.09090909090909
"2018-01-06","Sagenista_61_1","Bacteroidetes_1194_1_tp_2",0,0,0
"2018-01-06","Sagenista_61_1","Bacteroidetes_1204_1_tp_2",0,0,0
"2018-01-06","Sagenista_61_1","Bacteroidetes_1224_1_tp_2",-0.000343863588806733,0.00000106395834117622,9.09090909090909
"2018-01-06","Sagenista_61_1","Bacteroidetes_1235_1_tp_2",0.00962350529819342,0.000406166900043397,18.1818181818182
"2018-01-06","Sagenista_61_1","Bacteroidetes_1249_1_tp_2",0,0,0
"2018-01-06","Sagenista_61_1","Bacteroidetes_1264_1_tp_2",0,0,0
