"target","embedding","rho","rmse"
"Haptophyta_203_1","Archaea_179_1_tp_2, Cercozoa_22_1_tp_2, Div_reps_2942_1_tp_2, Phylum_reps_1954_1_tp_2, Picozoa_6_1_tp_2, Proteobacteria_11431_2_tp_2, Proteobacteria_7174_1_tp_2, Proteobacteria_8177_2_tp_2, Sagenista_61_1_tp_2",0.336084908439328,0.179860329846685
"Haptophyta_203_1","Bacillariophyta_31_1_tp_2, Bacteroidetes_129_2_tp_2, Div_reps_1600_1_tp_2, Phylum_reps_2301_1_tp_2, Planctomycetes_61_1_tp_2, Proteobacteria_7314_1_tp_2, Proteobacteria_7982_1_tp_2, Proteobacteria_7983_3_tp_2, Proteobacteria_8177_2_tp_2",0.261197413820507,0.179918868312936
"Haptophyta_203_1","Actinobacteria_410_2_tp_2, Bacteroidetes_1178_1_tp_2, Bacteroidetes_1224_1_tp_2, Bacteroidetes_919_2_tp_2, Dinoflagellata_1758_1_tp_2, Proteobacteria_11155_1_tp_2, Proteobacteria_7983_2_tp_2, Proteobacteria_8176_2_tp_2, Proteobacteria_9681_1_tp_2",0.190828752909778,0.195288730221548
"Haptophyta_203_1","Bacillariophyta_44_1_tp_2, Bacteroidetes_1167_1_tp_2, Bacteroidetes_1235_1_tp_2, Phylum_reps_2301_1_tp_2, Proteobacteria_5436_1_tp_2, Proteobacteria_7316_1_tp_2, Rhodophyta_506_1_tp_2, Sagenista_53_1_tp_2, Verrucomicrobia_23_1_tp_2",0.377750042623763,0.150643597987738
"Haptophyta_203_1","Bacteroidetes_1186_1_tp_2, Chlorophyta__streptophyta_845_1_tp_2, Dictyochophyceae_6_1_tp_2, Dinoflagellata_1758_1_tp_2, Dinoflagellata_874_1_tp_2, Planctomycetes_27_1_tp_2, Proteobacteria_7100_1_tp_2, Proteobacteria_7230_2_tp_2, Proteobacteria_7364_1_tp_2",0.251894074911814,0.176801196847038
"Haptophyta_203_1","Actinobacteria_410_1_tp_2, Bacillariophyta_219_1_tp_2, Bacteroidetes_919_3_tp_2, Cercozoa_22_1_tp_2, Div_reps_2942_1_tp_2, Perkinsea_44_1_tp_2, Proteobacteria_5436_1_tp_2, Proteobacteria_5461_1_tp_2, Proteobacteria_7100_1_tp_2",0.386676886487098,0.181306840178375
"Haptophyta_203_1","Bacteroidetes_129_1_tp_2, Chlorophyta__streptophyta_120_1_tp_2, Chlorophyta__streptophyta_845_1_tp_2, Chlorophyta__streptophyta_848_1_tp_2, Dinoflagellata_1555_1_tp_2, Dinoflagellata_1749_1_tp_2, Proteobacteria_11431_2_tp_2, Proteobacteria_7983_8_tp_2, Verrucomicrobia_18_4_tp_2",0.246619975158754,0.193938018988014
"Haptophyta_203_1","Bacillariophyta_138_1_tp_2, Bacteroidetes_1194_1_tp_2, Bacteroidetes_131_1_tp_2, Bacteroidetes_919_3_tp_2, Cryptophyta_15_1_tp_2, Perkinsea_33_1_tp_2, Perkinsea_44_1_tp_2, Proteobacteria_6847_1_tp_2, Proteobacteria_7983_5_tp_2",0.305390525945749,0.168198951984316
"Haptophyta_203_1","Archaea_179_1_tp_2, Bacillariophyta_29_1_tp_2, Bacteroidetes_918_2_tp_2, Bacteroidetes_918_3_tp_2, Bacteroidetes_919_3_tp_2, Chlorophyta__streptophyta_120_1_tp_2, Cryptophyta_108_1_tp_2, Dinoflagellata_1555_1_tp_2, Proteobacteria_22_1_tp_2",0.224814726112658,0.200214405147779
"Haptophyta_203_1","Bacillariophyta_219_1_tp_2, Bacteroidetes_1204_1_tp_2, Chrysophyceae_16_1_tp_2, Ciliophora_451_1_tp_2, Cryptophyta_15_2_tp_2, Cyanobacteria_65_1_tp_2, Dinoflagellata_1009_1_tp_2, Haptophyta_148_1_tp_2, Proteobacteria_7230_3_tp_2",0.236539205011492,0.196087702475796
"Haptophyta_203_1","Bacillariophyta_44_1_tp_2, Bacteroidetes_1166_1_tp_2, Bacteroidetes_1360_3_tp_2, Ciliophora_234_1_tp_2, Ciliophora_451_1_tp_2, Cyanobacteria_65_1_tp_2, Dinoflagellata_1771_2_tp_2, Proteobacteria_10114_1_tp_2, Proteobacteria_8520_1_tp_2",0.301926339281046,0.167396166008987
"Haptophyta_203_1","Bacteroidetes_1204_1_tp_2, Bacteroidetes_1360_5_tp_2, Chlorophyta__streptophyta_833_1_tp_2, Ciliophora_1195_1_tp_2, Dinoflagellata_1769_1_tp_2, Proteobacteria_11120_1_tp_2, Proteobacteria_7100_1_tp_2, Proteobacteria_7983_5_tp_2, Rhodophyta_506_1_tp_2",0.142425323783602,0.209556119009993
"Haptophyta_203_1","Actinobacteria_410_2_tp_2, Bacteroidetes_1264_1_tp_2, Bacteroidetes_1349_1_tp_2, Bacteroidetes_1360_5_tp_2, Cercozoa_22_1_tp_2, Chlorophyta__streptophyta_845_1_tp_2, Dinoflagellata_1658_1_tp_2, Dinoflagellata_1968_1_tp_2, Proteobacteria_7230_3_tp_2",0.2367636214153,0.192973373917915
"Haptophyta_203_1","Archaea_179_1_tp_2, Bacillariophyta_100_1_tp_2, Bacteroidetes_1224_1_tp_2, Bacteroidetes_1360_5_tp_2, Dinoflagellata_1098_1_tp_2, Div_reps_1600_2_tp_2, Div_reps_2942_1_tp_2, Proteobacteria_5461_1_tp_2, Proteobacteria_7983_5_tp_2",0.291355876034917,0.179711863173983
"Haptophyta_203_1","Archaea_164_1_tp_2, Bacillariophyta_31_1_tp_2, Bacteroidetes_1224_1_tp_2, Bacteroidetes_1264_1_tp_2, Bacteroidetes_1349_1_tp_2, Ciliophora_403_1_tp_2, Dinoflagellata_1014_1_tp_2, Haptophyta_148_1_tp_2, Sagenista_53_1_tp_2",0.372109872050438,0.184276827059443
"Haptophyta_203_1","Bacteroidetes_1166_2_tp_2, Bacteroidetes_918_3_tp_2, Chlorophyta__streptophyta_848_1_tp_2, Cyanobacteria_85_1_tp_2, Phylum_reps_1954_1_tp_2, Proteobacteria_5436_1_tp_2, Proteobacteria_7166_1_tp_2, Proteobacteria_7230_1_tp_2, temperature_tp_2",0.29063857333752,0.179571609121067
"Haptophyta_203_1","Bacillariophyta_44_1_tp_2, Bacteroidetes_1166_1_tp_2, Dinoflagellata_1198_1_tp_2, Dinoflagellata_1793_1_tp_2, Haptophyta_148_1_tp_2, Katablepharidophyta_7_1_tp_2, Proteobacteria_11428_1_tp_2, Proteobacteria_5436_1_tp_2, Proteobacteria_7289_1_tp_2",0.33328499069543,0.17553752566311
"Haptophyta_203_1","Archaea_164_2_tp_2, Bacteroidetes_1204_1_tp_2, Bacteroidetes_1235_1_tp_2, Bacteroidetes_919_3_tp_2, Chlorophyta__streptophyta_845_1_tp_2, Dinoflagellata_874_1_tp_2, Proteobacteria_11155_2_tp_2, Proteobacteria_7983_8_tp_2, Verrucomicrobia_18_3_tp_2",0.289692948682137,0.178658548989365
"Haptophyta_203_1","Actinobacteria_410_1_tp_2, Bacteroidetes_1186_1_tp_2, Cercozoa_22_1_tp_2, Chlorophyta__streptophyta_751_1_tp_2, Chrysophyceae_16_1_tp_2, Cyanobacteria_85_1_tp_2, Katablepharidophyta_7_1_tp_2, Proteobacteria_8177_1_tp_2, Verrucomicrobia_23_1_tp_2",0.188223944537739,0.184763749215456
"Haptophyta_203_1","Chlorophyta__streptophyta_848_1_tp_2, Cyanobacteria_73_1_tp_2, Dinoflagellata_1010_1_tp_2, Dinoflagellata_1749_1_tp_2, Proteobacteria_11155_1_tp_2, Proteobacteria_5436_1_tp_2, Proteobacteria_7983_5_tp_2, temperature_tp_2, Verrucomicrobia_18_1_tp_2",0.202286291033903,0.198756657233842
"Haptophyta_203_1","Bacteroidetes_1194_1_tp_2, Cercozoa_395_1_tp_2, Chlorophyta__streptophyta_845_1_tp_2, Dinoflagellata_874_1_tp_2, Proteobacteria_7314_1_tp_2, Proteobacteria_7983_5_tp_2, Proteobacteria_8178_1_tp_2, Proteobacteria_8185_1_tp_2, Verrucomicrobia_18_2_tp_2",0.390042705941336,0.160574382369446
"Haptophyta_203_1","Bacteroidetes_1224_1_tp_2, Dinoflagellata_1009_1_tp_2, Picozoa_6_1_tp_2, Proteobacteria_11155_2_tp_2, Proteobacteria_7787_1_tp_2, Proteobacteria_7982_1_tp_2, Proteobacteria_7982_2_tp_2, Proteobacteria_7983_1_tp_2, Verrucomicrobia_18_4_tp_2",0.327059032691591,0.17644185519394
"Haptophyta_203_1","Actinobacteria_410_1_tp_2, Ciliophora_1195_1_tp_2, Cryptophyta_15_1_tp_2, Dinoflagellata_1010_1_tp_2, Div_reps_2942_1_tp_2, Proteobacteria_6847_1_tp_2, Proteobacteria_7166_1_tp_2, Proteobacteria_8178_1_tp_2, Proteobacteria_9681_1_tp_2",0.285818960786929,0.167856456362145
"Haptophyta_203_1","Archaea_164_1_tp_2, Archaea_179_1_tp_2, Bacillariophyta_138_1_tp_2, Bacteroidetes_1167_1_tp_2, Bacteroidetes_129_1_tp_2, Cercozoa_22_1_tp_2, Dinoflagellata_1014_1_tp_2, Dinoflagellata_1711_1_tp_2, Proteobacteria_9649_1_tp_2",0.235327274444368,0.188735879127412
"Haptophyta_203_1","Bacteroidetes_317_1_tp_2, Bacteroidetes_938_1_tp_2, Cyanobacteria_73_1_tp_2, Dinoflagellata_1198_1_tp_2, Dinoflagellata_1968_1_tp_2, Proteobacteria_11210_2_tp_2, Proteobacteria_11429_4_tp_2, Proteobacteria_8177_2_tp_2, Verrucomicrobia_18_2_tp_2",0.258970775287926,0.216346978293691
"Haptophyta_203_1","Dinoflagellata_1555_1_tp_2, Dinoflagellata_1658_1_tp_2, Haptophyta_148_1_tp_2, Proteobacteria_10091_1_tp_2, Proteobacteria_11210_2_tp_2, Proteobacteria_7289_1_tp_2, Proteobacteria_8175_1_tp_2, temperature_tp_2, Verrucomicrobia_22_2_tp_2",0.37803424031634,0.172901860283071
"Haptophyta_203_1","Bacillariophyta_219_1_tp_2, Cercozoa_395_1_tp_2, Dinoflagellata_1014_1_tp_2, Dinoflagellata_1771_2_tp_2, Proteobacteria_10168_1_tp_2, Proteobacteria_11190_1_tp_2, Proteobacteria_7316_1_tp_2, Proteobacteria_7983_8_tp_2, Verrucomicrobia_18_2_tp_2",0.26522275572438,0.170441120877754
"Haptophyta_203_1","Bacillariophyta_100_1_tp_2, Bacillariophyta_196_1_tp_2, Bacillariophyta_44_1_tp_2, Dinoflagellata_1198_1_tp_2, Dinoflagellata_1758_1_tp_2, Proteobacteria_11190_1_tp_2, Proteobacteria_7100_1_tp_2, Proteobacteria_7230_2_tp_2, Proteobacteria_8175_1_tp_2",0.225014980166919,0.198851444368877
"Haptophyta_203_1","Bacteroidetes_1166_2_tp_2, Bacteroidetes_1186_1_tp_2, Bacteroidetes_956_1_tp_2, Dinoflagellata_1862_1_tp_2, Nitrospirae_9_1_tp_2, Proteobacteria_11210_1_tp_2, Proteobacteria_7983_8_tp_2, Proteobacteria_8175_1_tp_2, Radiolaria_104_1_tp_2",0.22368703726457,0.195092267350186
