"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Bacillariophyta_100_1",10.054844606947,0.794025053290808,0.142933823957004,0.943899124167189,0.178223000704601
0.1,0.1,1,"Bacillariophyta_100_1",10.054844606947,0.791468777325757,0.143983235614414,0.943899124167189,0.178223000704601
1,0.1,1,"Bacillariophyta_100_1",10.054844606947,0.782018025140656,0.157174161412201,0.943899124167189,0.178223000704601
3,0.1,1,"Bacillariophyta_100_1",10.054844606947,0.782044407145975,0.178743076259873,0.943899124167189,0.178223000704601
8,0.1,1,"Bacillariophyta_100_1",10.054844606947,0.773098543270177,0.201045839740778,0.943899124167189,0.178223000704601
0,0.3,1,"Bacillariophyta_100_1",10.054844606947,0.794563783843099,0.129121625826334,0.943899124167189,0.178223000704601
0.1,0.3,1,"Bacillariophyta_100_1",10.054844606947,0.793944817217914,0.131126703757255,0.943899124167189,0.178223000704601
1,0.3,1,"Bacillariophyta_100_1",10.054844606947,0.788830455220649,0.157645478332202,0.943899124167189,0.178223000704601
3,0.3,1,"Bacillariophyta_100_1",10.054844606947,0.783798668972096,0.177948417183784,0.943899124167189,0.178223000704601
8,0.3,1,"Bacillariophyta_100_1",10.054844606947,0.773098543270177,0.201045839740778,0.943899124167189,0.178223000704601
0,0.5,1,"Bacillariophyta_100_1",10.054844606947,0.799695658474317,0.129281524170174,0.943899124167189,0.178223000704601
0.1,0.5,1,"Bacillariophyta_100_1",10.054844606947,0.798658420796545,0.132432276706015,0.943899124167189,0.178223000704601
1,0.5,1,"Bacillariophyta_100_1",10.054844606947,0.790573299881272,0.156978938583119,0.943899124167189,0.178223000704601
3,0.5,1,"Bacillariophyta_100_1",10.054844606947,0.783798668972096,0.177948417183784,0.943899124167189,0.178223000704601
8,0.5,1,"Bacillariophyta_100_1",10.054844606947,0.773098543270177,0.201045839740778,0.943899124167189,0.178223000704601
0,0.7,1,"Bacillariophyta_100_1",10.054844606947,0.800801967628893,0.129443040601342,0.943899124167189,0.178223000704601
0.1,0.7,1,"Bacillariophyta_100_1",10.054844606947,0.799315188451722,0.132591678789287,0.943899124167189,0.178223000704601
1,0.7,1,"Bacillariophyta_100_1",10.054844606947,0.790573299881272,0.156978938583119,0.943899124167189,0.178223000704601
3,0.7,1,"Bacillariophyta_100_1",10.054844606947,0.783798668972096,0.177948417183784,0.943899124167189,0.178223000704601
8,0.7,1,"Bacillariophyta_100_1",10.054844606947,0.773098543270177,0.201045839740778,0.943899124167189,0.178223000704601
0,0.9,1,"Bacillariophyta_100_1",10.054844606947,0.800801967628893,0.129443040601342,0.943899124167189,0.178223000704601
0.1,0.9,1,"Bacillariophyta_100_1",10.054844606947,0.799315188451722,0.132591678789287,0.943899124167189,0.178223000704601
1,0.9,1,"Bacillariophyta_100_1",10.054844606947,0.790573299881272,0.156978938583119,0.943899124167189,0.178223000704601
3,0.9,1,"Bacillariophyta_100_1",10.054844606947,0.783798668972096,0.177948417183784,0.943899124167189,0.178223000704601
8,0.9,1,"Bacillariophyta_100_1",10.054844606947,0.773098543270177,0.201045839740778,0.943899124167189,0.178223000704601
0,0.1,0.178,"Bacillariophyta_100_1",10.054844606947,0.827853603541141,0.182472020474863,0.943899124167189,0.178223000704601
0.1,0.1,0.178,"Bacillariophyta_100_1",10.054844606947,0.823192091748888,0.183103927651363,0.943899124167189,0.178223000704601
1,0.1,0.178,"Bacillariophyta_100_1",10.054844606947,0.792678273065903,0.187351894831615,0.943899124167189,0.178223000704601
3,0.1,0.178,"Bacillariophyta_100_1",10.054844606947,0.782886578676976,0.178415106229209,0.943899124167189,0.178223000704601
8,0.1,0.178,"Bacillariophyta_100_1",10.054844606947,0.772492965662642,0.201562139977307,0.943899124167189,0.178223000704601
0,0.3,0.178,"Bacillariophyta_100_1",10.054844606947,0.825349306046348,0.137355022679858,0.943899124167189,0.178223000704601
0.1,0.3,0.178,"Bacillariophyta_100_1",10.054844606947,0.82172367898789,0.137330780690649,0.943899124167189,0.178223000704601
1,0.3,0.178,"Bacillariophyta_100_1",10.054844606947,0.796141511827403,0.15245503817149,0.943899124167189,0.178223000704601
3,0.3,0.178,"Bacillariophyta_100_1",10.054844606947,0.780562748072177,0.176120991228967,0.943899124167189,0.178223000704601
8,0.3,0.178,"Bacillariophyta_100_1",10.054844606947,0.773098543270177,0.201045839740778,0.943899124167189,0.178223000704601
0,0.5,0.178,"Bacillariophyta_100_1",10.054844606947,0.817679357201686,0.129157713656499,0.943899124167189,0.178223000704601
0.1,0.5,0.178,"Bacillariophyta_100_1",10.054844606947,0.813691355482137,0.13135313671924,0.943899124167189,0.178223000704601
1,0.5,0.178,"Bacillariophyta_100_1",10.054844606947,0.791470805053131,0.149699718464855,0.943899124167189,0.178223000704601
3,0.5,0.178,"Bacillariophyta_100_1",10.054844606947,0.780653128522132,0.178282382890371,0.943899124167189,0.178223000704601
8,0.5,0.178,"Bacillariophyta_100_1",10.054844606947,0.773098543270177,0.201045839740778,0.943899124167189,0.178223000704601
0,0.7,0.178,"Bacillariophyta_100_1",10.054844606947,0.810304624815345,0.126262780651102,0.943899124167189,0.178223000704601
0.1,0.7,0.178,"Bacillariophyta_100_1",10.054844606947,0.806990656167651,0.128087843383355,0.943899124167189,0.178223000704601
1,0.7,0.178,"Bacillariophyta_100_1",10.054844606947,0.788121796897578,0.149379428736851,0.943899124167189,0.178223000704601
3,0.7,0.178,"Bacillariophyta_100_1",10.054844606947,0.781385241471661,0.179469604344317,0.943899124167189,0.178223000704601
8,0.7,0.178,"Bacillariophyta_100_1",10.054844606947,0.773098543270177,0.201045839740778,0.943899124167189,0.178223000704601
0,0.9,0.178,"Bacillariophyta_100_1",10.054844606947,0.806136694903805,0.123805616646785,0.943899124167189,0.178223000704601
0.1,0.9,0.178,"Bacillariophyta_100_1",10.054844606947,0.80325627778714,0.126596831349039,0.943899124167189,0.178223000704601
1,0.9,0.178,"Bacillariophyta_100_1",10.054844606947,0.785160699173567,0.151908723208946,0.943899124167189,0.178223000704601
3,0.9,0.178,"Bacillariophyta_100_1",10.054844606947,0.781661161949083,0.179642252190736,0.943899124167189,0.178223000704601
8,0.9,0.178,"Bacillariophyta_100_1",10.054844606947,0.773098543270177,0.201045839740778,0.943899124167189,0.178223000704601
0,0.1,0.032,"Bacillariophyta_100_1",10.054844606947,0.901473124031719,0.21380017610925,0.943899124167189,0.178223000704601
0.1,0.1,0.032,"Bacillariophyta_100_1",10.054844606947,0.894268880914878,0.214911894675181,0.943899124167189,0.178223000704601
1,0.1,0.032,"Bacillariophyta_100_1",10.054844606947,0.835696184320375,0.220717810212671,0.943899124167189,0.178223000704601
3,0.1,0.032,"Bacillariophyta_100_1",10.054844606947,0.785521087781262,0.2167575306292,0.943899124167189,0.178223000704601
8,0.1,0.032,"Bacillariophyta_100_1",10.054844606947,0.774573057865469,0.206415045504229,0.943899124167189,0.178223000704601
0,0.3,0.032,"Bacillariophyta_100_1",10.054844606947,0.879776019563881,0.196240595830972,0.943899124167189,0.178223000704601
0.1,0.3,0.032,"Bacillariophyta_100_1",10.054844606947,0.873063306976628,0.196591621807312,0.943899124167189,0.178223000704601
1,0.3,0.032,"Bacillariophyta_100_1",10.054844606947,0.818473408777454,0.204367630708563,0.943899124167189,0.178223000704601
3,0.3,0.032,"Bacillariophyta_100_1",10.054844606947,0.790058958034077,0.187660670670786,0.943899124167189,0.178223000704601
8,0.3,0.032,"Bacillariophyta_100_1",10.054844606947,0.772030972763307,0.205609245571268,0.943899124167189,0.178223000704601
0,0.5,0.032,"Bacillariophyta_100_1",10.054844606947,0.862927573335664,0.18789957147927,0.943899124167189,0.178223000704601
0.1,0.5,0.032,"Bacillariophyta_100_1",10.054844606947,0.855836848291673,0.189403714119606,0.943899124167189,0.178223000704601
1,0.5,0.032,"Bacillariophyta_100_1",10.054844606947,0.80990840148687,0.196731130150049,0.943899124167189,0.178223000704601
3,0.5,0.032,"Bacillariophyta_100_1",10.054844606947,0.796912440063173,0.166754752244586,0.943899124167189,0.178223000704601
8,0.5,0.032,"Bacillariophyta_100_1",10.054844606947,0.771565820191472,0.202648478582181,0.943899124167189,0.178223000704601
0,0.7,0.032,"Bacillariophyta_100_1",10.054844606947,0.850767151837749,0.183435175809143,0.943899124167189,0.178223000704601
0.1,0.7,0.032,"Bacillariophyta_100_1",10.054844606947,0.845173435904143,0.184463038836012,0.943899124167189,0.178223000704601
1,0.7,0.032,"Bacillariophyta_100_1",10.054844606947,0.809138899089197,0.179078664407804,0.943899124167189,0.178223000704601
3,0.7,0.032,"Bacillariophyta_100_1",10.054844606947,0.794074259990536,0.167949199367342,0.943899124167189,0.178223000704601
8,0.7,0.032,"Bacillariophyta_100_1",10.054844606947,0.772048978613941,0.202006099472806,0.943899124167189,0.178223000704601
0,0.9,0.032,"Bacillariophyta_100_1",10.054844606947,0.847452820124478,0.174466971480107,0.943899124167189,0.178223000704601
0.1,0.9,0.032,"Bacillariophyta_100_1",10.054844606947,0.842114754205657,0.173825152295114,0.943899124167189,0.178223000704601
1,0.9,0.032,"Bacillariophyta_100_1",10.054844606947,0.811926234326904,0.160998336795989,0.943899124167189,0.178223000704601
3,0.9,0.032,"Bacillariophyta_100_1",10.054844606947,0.793448980533204,0.168481457230636,0.943899124167189,0.178223000704601
8,0.9,0.032,"Bacillariophyta_100_1",10.054844606947,0.77201452625882,0.202098073329776,0.943899124167189,0.178223000704601
0,0.1,0.006,"Bacillariophyta_100_1",10.054844606947,0.983049840021225,0.223770702022744,0.943899124167189,0.178223000704601
0.1,0.1,0.006,"Bacillariophyta_100_1",10.054844606947,0.974650252931053,0.224557964994549,0.943899124167189,0.178223000704601
1,0.1,0.006,"Bacillariophyta_100_1",10.054844606947,0.91414682635435,0.231563872846336,0.943899124167189,0.178223000704601
3,0.1,0.006,"Bacillariophyta_100_1",10.054844606947,0.817619368727383,0.241160307120685,0.943899124167189,0.178223000704601
8,0.1,0.006,"Bacillariophyta_100_1",10.054844606947,0.79244570923705,0.205639396928543,0.943899124167189,0.178223000704601
0,0.3,0.006,"Bacillariophyta_100_1",10.054844606947,0.952752202701524,0.223618482960183,0.943899124167189,0.178223000704601
0.1,0.3,0.006,"Bacillariophyta_100_1",10.054844606947,0.947095399500067,0.224441441933018,0.943899124167189,0.178223000704601
1,0.3,0.006,"Bacillariophyta_100_1",10.054844606947,0.881313317987135,0.23236598672461,0.943899124167189,0.178223000704601
3,0.3,0.006,"Bacillariophyta_100_1",10.054844606947,0.809101351409066,0.228970778164733,0.943899124167189,0.178223000704601
8,0.3,0.006,"Bacillariophyta_100_1",10.054844606947,0.791540287467617,0.190808107090626,0.943899124167189,0.178223000704601
0,0.5,0.006,"Bacillariophyta_100_1",10.054844606947,0.93783383073694,0.22095697976576,0.943899124167189,0.178223000704601
0.1,0.5,0.006,"Bacillariophyta_100_1",10.054844606947,0.930273118683492,0.22128303650744,0.943899124167189,0.178223000704601
1,0.5,0.006,"Bacillariophyta_100_1",10.054844606947,0.870475676600999,0.22426952472417,0.943899124167189,0.178223000704601
3,0.5,0.006,"Bacillariophyta_100_1",10.054844606947,0.798881799028109,0.224966429338753,0.943899124167189,0.178223000704601
8,0.5,0.006,"Bacillariophyta_100_1",10.054844606947,0.784503162297426,0.197919880368933,0.943899124167189,0.178223000704601
0,0.7,0.006,"Bacillariophyta_100_1",10.054844606947,0.92552793784885,0.216980884890262,0.943899124167189,0.178223000704601
0.1,0.7,0.006,"Bacillariophyta_100_1",10.054844606947,0.918224924181041,0.217162022892458,0.943899124167189,0.178223000704601
1,0.7,0.006,"Bacillariophyta_100_1",10.054844606947,0.86393612586276,0.216353428719112,0.943899124167189,0.178223000704601
3,0.7,0.006,"Bacillariophyta_100_1",10.054844606947,0.795968190347412,0.218265695254817,0.943899124167189,0.178223000704601
8,0.7,0.006,"Bacillariophyta_100_1",10.054844606947,0.784292779794519,0.198593915852862,0.943899124167189,0.178223000704601
0,0.9,0.006,"Bacillariophyta_100_1",10.054844606947,0.919082976950778,0.211405138580861,0.943899124167189,0.178223000704601
0.1,0.9,0.006,"Bacillariophyta_100_1",10.054844606947,0.912684898753567,0.211262744408521,0.943899124167189,0.178223000704601
1,0.9,0.006,"Bacillariophyta_100_1",10.054844606947,0.859059401409254,0.208467468090995,0.943899124167189,0.178223000704601
3,0.9,0.006,"Bacillariophyta_100_1",10.054844606947,0.792647352525994,0.215254567073715,0.943899124167189,0.178223000704601
8,0.9,0.006,"Bacillariophyta_100_1",10.054844606947,0.781162529879791,0.200497793766724,0.943899124167189,0.178223000704601
0,0.1,0.001,"Bacillariophyta_100_1",10.054844606947,1.06404671868723,0.217759497462884,0.943899124167189,0.178223000704601
0.1,0.1,0.001,"Bacillariophyta_100_1",10.054844606947,1.05541454048248,0.220605475569352,0.943899124167189,0.178223000704601
1,0.1,0.001,"Bacillariophyta_100_1",10.054844606947,1.00796827048605,0.224131205309669,0.943899124167189,0.178223000704601
3,0.1,0.001,"Bacillariophyta_100_1",10.054844606947,0.910446782259982,0.23529628644284,0.943899124167189,0.178223000704601
8,0.1,0.001,"Bacillariophyta_100_1",10.054844606947,0.812897630502558,0.214494164818655,0.943899124167189,0.178223000704601
0,0.3,0.001,"Bacillariophyta_100_1",10.054844606947,1.02923844605196,0.222779736612055,0.943899124167189,0.178223000704601
0.1,0.3,0.001,"Bacillariophyta_100_1",10.054844606947,1.02648496999727,0.224931387432563,0.943899124167189,0.178223000704601
1,0.3,0.001,"Bacillariophyta_100_1",10.054844606947,0.984879274325953,0.227676973611069,0.943899124167189,0.178223000704601
3,0.3,0.001,"Bacillariophyta_100_1",10.054844606947,0.887344941903166,0.232699324631307,0.943899124167189,0.178223000704601
8,0.3,0.001,"Bacillariophyta_100_1",10.054844606947,0.803118094317198,0.216228265713766,0.943899124167189,0.178223000704601
0,0.5,0.001,"Bacillariophyta_100_1",10.054844606947,1.03282892924298,0.219526549016226,0.943899124167189,0.178223000704601
0.1,0.5,0.001,"Bacillariophyta_100_1",10.054844606947,1.02846246214477,0.220195022945566,0.943899124167189,0.178223000704601
1,0.5,0.001,"Bacillariophyta_100_1",10.054844606947,0.972047394668801,0.226869222337742,0.943899124167189,0.178223000704601
3,0.5,0.001,"Bacillariophyta_100_1",10.054844606947,0.866444324970234,0.237449528255923,0.943899124167189,0.178223000704601
8,0.5,0.001,"Bacillariophyta_100_1",10.054844606947,0.80528358482757,0.203911789473101,0.943899124167189,0.178223000704601
0,0.7,0.001,"Bacillariophyta_100_1",10.054844606947,1.0241610550401,0.219447044493813,0.943899124167189,0.178223000704601
0.1,0.7,0.001,"Bacillariophyta_100_1",10.054844606947,1.01959198605429,0.219193678385811,0.943899124167189,0.178223000704601
1,0.7,0.001,"Bacillariophyta_100_1",10.054844606947,0.961296722676437,0.224766025384622,0.943899124167189,0.178223000704601
3,0.7,0.001,"Bacillariophyta_100_1",10.054844606947,0.85406335747632,0.238275076276995,0.943899124167189,0.178223000704601
8,0.7,0.001,"Bacillariophyta_100_1",10.054844606947,0.803117739819655,0.202213595718382,0.943899124167189,0.178223000704601
0,0.9,0.001,"Bacillariophyta_100_1",10.054844606947,1.01606527257988,0.218499437620028,0.943899124167189,0.178223000704601
0.1,0.9,0.001,"Bacillariophyta_100_1",10.054844606947,1.01114005130361,0.219047105164038,0.943899124167189,0.178223000704601
1,0.9,0.001,"Bacillariophyta_100_1",10.054844606947,0.950666716343537,0.224619545981788,0.943899124167189,0.178223000704601
3,0.9,0.001,"Bacillariophyta_100_1",10.054844606947,0.845487497163424,0.237279214083201,0.943899124167189,0.178223000704601
8,0.9,0.001,"Bacillariophyta_100_1",10.054844606947,0.805190043718767,0.194023586790511,0.943899124167189,0.178223000704601
