"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Cercozoa_22_1",10.054844606947,6.80922318716461,0.359344047025717,8.81072432207492,0.267744259540637
0.1,0.1,1,"Cercozoa_22_1",10.054844606947,6.80058884087891,0.359312838322145,8.81072432207492,0.267744259540637
1,0.1,1,"Cercozoa_22_1",10.054844606947,6.79459828303159,0.356105148562202,8.81072432207492,0.267744259540637
3,0.1,1,"Cercozoa_22_1",10.054844606947,6.87226023439163,0.338819934538908,8.81072432207492,0.267744259540637
8,0.1,1,"Cercozoa_22_1",10.054844606947,6.85295872932137,0.326724186798936,8.81072432207492,0.267744259540637
0,0.3,1,"Cercozoa_22_1",10.054844606947,7.02704599768257,0.301161027688496,8.81072432207492,0.267744259540637
0.1,0.3,1,"Cercozoa_22_1",10.054844606947,7.00936749734245,0.305468758820228,8.81072432207492,0.267744259540637
1,0.3,1,"Cercozoa_22_1",10.054844606947,6.90977316217584,0.339995181195851,8.81072432207492,0.267744259540637
3,0.3,1,"Cercozoa_22_1",10.054844606947,6.85958825968482,0.354908697950344,8.81072432207492,0.267744259540637
8,0.3,1,"Cercozoa_22_1",10.054844606947,6.85295872932137,0.326724186798936,8.81072432207492,0.267744259540637
0,0.5,1,"Cercozoa_22_1",10.054844606947,7.00703573085461,0.319159022618584,8.81072432207492,0.267744259540637
0.1,0.5,1,"Cercozoa_22_1",10.054844606947,6.99114475517174,0.321909049776203,8.81072432207492,0.267744259540637
1,0.5,1,"Cercozoa_22_1",10.054844606947,6.90925382235577,0.341783341360372,8.81072432207492,0.267744259540637
3,0.5,1,"Cercozoa_22_1",10.054844606947,6.85958825968482,0.354908697950344,8.81072432207492,0.267744259540637
8,0.5,1,"Cercozoa_22_1",10.054844606947,6.85295872932137,0.326724186798936,8.81072432207492,0.267744259540637
0,0.7,1,"Cercozoa_22_1",10.054844606947,7.00763275624102,0.31844765510372,8.81072432207492,0.267744259540637
0.1,0.7,1,"Cercozoa_22_1",10.054844606947,6.991407325428,0.321730614467225,8.81072432207492,0.267744259540637
1,0.7,1,"Cercozoa_22_1",10.054844606947,6.90925382235577,0.341783341360372,8.81072432207492,0.267744259540637
3,0.7,1,"Cercozoa_22_1",10.054844606947,6.85958825968482,0.354908697950344,8.81072432207492,0.267744259540637
8,0.7,1,"Cercozoa_22_1",10.054844606947,6.85295872932137,0.326724186798936,8.81072432207492,0.267744259540637
0,0.9,1,"Cercozoa_22_1",10.054844606947,7.00763275624102,0.31844765510372,8.81072432207492,0.267744259540637
0.1,0.9,1,"Cercozoa_22_1",10.054844606947,6.991407325428,0.321730614467225,8.81072432207492,0.267744259540637
1,0.9,1,"Cercozoa_22_1",10.054844606947,6.90925382235577,0.341783341360372,8.81072432207492,0.267744259540637
3,0.9,1,"Cercozoa_22_1",10.054844606947,6.85958825968482,0.354908697950344,8.81072432207492,0.267744259540637
8,0.9,1,"Cercozoa_22_1",10.054844606947,6.85295872932137,0.326724186798936,8.81072432207492,0.267744259540637
0,0.1,0.178,"Cercozoa_22_1",10.054844606947,8.14717208484763,0.272039864910319,8.81072432207492,0.267744259540637
0.1,0.1,0.178,"Cercozoa_22_1",10.054844606947,8.06396668764717,0.274125521694125,8.81072432207492,0.267744259540637
1,0.1,0.178,"Cercozoa_22_1",10.054844606947,7.48744447668847,0.296865794097304,8.81072432207492,0.267744259540637
3,0.1,0.178,"Cercozoa_22_1",10.054844606947,6.82307952116244,0.355285700064437,8.81072432207492,0.267744259540637
8,0.1,0.178,"Cercozoa_22_1",10.054844606947,6.88866013192364,0.309409794691414,8.81072432207492,0.267744259540637
0,0.3,0.178,"Cercozoa_22_1",10.054844606947,7.28020567684124,0.31986983761671,8.81072432207492,0.267744259540637
0.1,0.3,0.178,"Cercozoa_22_1",10.054844606947,7.23433119972782,0.320878214520815,8.81072432207492,0.267744259540637
1,0.3,0.178,"Cercozoa_22_1",10.054844606947,6.93128889080772,0.333378371525667,8.81072432207492,0.267744259540637
3,0.3,0.178,"Cercozoa_22_1",10.054844606947,6.80358804498424,0.337293222329823,8.81072432207492,0.267744259540637
8,0.3,0.178,"Cercozoa_22_1",10.054844606947,6.85947887222058,0.323556970108911,8.81072432207492,0.267744259540637
0,0.5,0.178,"Cercozoa_22_1",10.054844606947,7.03921897152574,0.323305626724338,8.81072432207492,0.267744259540637
0.1,0.5,0.178,"Cercozoa_22_1",10.054844606947,7.0146767529553,0.322982221401923,8.81072432207492,0.267744259540637
1,0.5,0.178,"Cercozoa_22_1",10.054844606947,6.87070518271968,0.323933589759359,8.81072432207492,0.267744259540637
3,0.5,0.178,"Cercozoa_22_1",10.054844606947,6.90159402046186,0.302971548914417,8.81072432207492,0.267744259540637
8,0.5,0.178,"Cercozoa_22_1",10.054844606947,6.85382589998842,0.326293859461883,8.81072432207492,0.267744259540637
0,0.7,0.178,"Cercozoa_22_1",10.054844606947,6.97961244842976,0.317142495137778,8.81072432207492,0.267744259540637
0.1,0.7,0.178,"Cercozoa_22_1",10.054844606947,6.96085893982039,0.317073845959978,8.81072432207492,0.267744259540637
1,0.7,0.178,"Cercozoa_22_1",10.054844606947,6.8749314393466,0.318972267073851,8.81072432207492,0.267744259540637
3,0.7,0.178,"Cercozoa_22_1",10.054844606947,6.8824332310404,0.329257959049487,8.81072432207492,0.267744259540637
8,0.7,0.178,"Cercozoa_22_1",10.054844606947,6.85295872932137,0.326724186798936,8.81072432207492,0.267744259540637
0,0.9,0.178,"Cercozoa_22_1",10.054844606947,6.97678291372982,0.307517865388556,8.81072432207492,0.267744259540637
0.1,0.9,0.178,"Cercozoa_22_1",10.054844606947,6.96685020014024,0.306442906924417,8.81072432207492,0.267744259540637
1,0.9,0.178,"Cercozoa_22_1",10.054844606947,6.94238125049764,0.291589668542666,8.81072432207492,0.267744259540637
3,0.9,0.178,"Cercozoa_22_1",10.054844606947,6.86947832317471,0.345155550868827,8.81072432207492,0.267744259540637
8,0.9,0.178,"Cercozoa_22_1",10.054844606947,6.85295872932137,0.326724186798936,8.81072432207492,0.267744259540637
0,0.1,0.032,"Cercozoa_22_1",10.054844606947,12.5629691050568,0.131229644799148,8.81072432207492,0.267744259540637
0.1,0.1,0.032,"Cercozoa_22_1",10.054844606947,12.3136996875736,0.134011824774394,8.81072432207492,0.267744259540637
1,0.1,0.032,"Cercozoa_22_1",10.054844606947,10.5345230725597,0.162284446171174,8.81072432207492,0.267744259540637
3,0.1,0.032,"Cercozoa_22_1",10.054844606947,8.42127272396331,0.229868692573642,8.81072432207492,0.267744259540637
8,0.1,0.032,"Cercozoa_22_1",10.054844606947,6.91787979973227,0.335846703086442,8.81072432207492,0.267744259540637
0,0.3,0.032,"Cercozoa_22_1",10.054844606947,10.4759019421654,0.18573264266019,8.81072432207492,0.267744259540637
0.1,0.3,0.032,"Cercozoa_22_1",10.054844606947,10.300042203738,0.188691657940692,8.81072432207492,0.267744259540637
1,0.3,0.032,"Cercozoa_22_1",10.054844606947,9.09342012082683,0.21057399793065,8.81072432207492,0.267744259540637
3,0.3,0.032,"Cercozoa_22_1",10.054844606947,7.59283657250348,0.281641841402395,8.81072432207492,0.267744259540637
8,0.3,0.032,"Cercozoa_22_1",10.054844606947,6.90747294407994,0.305597519772351,8.81072432207492,0.267744259540637
0,0.5,0.032,"Cercozoa_22_1",10.054844606947,9.48938398773817,0.218032642742314,8.81072432207492,0.267744259540637
0.1,0.5,0.032,"Cercozoa_22_1",10.054844606947,9.34271089070211,0.22159096142222,8.81072432207492,0.267744259540637
1,0.5,0.032,"Cercozoa_22_1",10.054844606947,8.40204003455974,0.243017320019513,8.81072432207492,0.267744259540637
3,0.5,0.032,"Cercozoa_22_1",10.054844606947,7.26943574759076,0.299951758934767,8.81072432207492,0.267744259540637
8,0.5,0.032,"Cercozoa_22_1",10.054844606947,6.92334450916464,0.295102165043056,8.81072432207492,0.267744259540637
0,0.7,0.032,"Cercozoa_22_1",10.054844606947,8.88910778433572,0.243744481544025,8.81072432207492,0.267744259540637
0.1,0.7,0.032,"Cercozoa_22_1",10.054844606947,8.78453996040256,0.244354796986483,8.81072432207492,0.267744259540637
1,0.7,0.032,"Cercozoa_22_1",10.054844606947,7.95246683562644,0.265905315034723,8.81072432207492,0.267744259540637
3,0.7,0.032,"Cercozoa_22_1",10.054844606947,7.06762904550034,0.312760342007157,8.81072432207492,0.267744259540637
8,0.7,0.032,"Cercozoa_22_1",10.054844606947,6.88183251844848,0.312157465562679,8.81072432207492,0.267744259540637
0,0.9,0.032,"Cercozoa_22_1",10.054844606947,8.4768514292043,0.253934072441964,8.81072432207492,0.267744259540637
0.1,0.9,0.032,"Cercozoa_22_1",10.054844606947,8.37195670139418,0.255913989052902,8.81072432207492,0.267744259540637
1,0.9,0.032,"Cercozoa_22_1",10.054844606947,7.65071779617828,0.282721398162434,8.81072432207492,0.267744259540637
3,0.9,0.032,"Cercozoa_22_1",10.054844606947,6.93611820250693,0.324229388382159,8.81072432207492,0.267744259540637
8,0.9,0.032,"Cercozoa_22_1",10.054844606947,6.87389287244112,0.316120666350266,8.81072432207492,0.267744259540637
0,0.1,0.006,"Cercozoa_22_1",10.054844606947,22.0396582077662,0.0533847242300391,8.81072432207492,0.267744259540637
0.1,0.1,0.006,"Cercozoa_22_1",10.054844606947,21.7958323847935,0.0550710951423377,8.81072432207492,0.267744259540637
1,0.1,0.006,"Cercozoa_22_1",10.054844606947,18.8161525754312,0.0696091871413767,8.81072432207492,0.267744259540637
3,0.1,0.006,"Cercozoa_22_1",10.054844606947,12.843340971926,0.115407396906565,8.81072432207492,0.267744259540637
8,0.1,0.006,"Cercozoa_22_1",10.054844606947,7.69685522510613,0.28737492848372,8.81072432207492,0.267744259540637
0,0.3,0.006,"Cercozoa_22_1",10.054844606947,19.7859743528809,0.0633696475799072,8.81072432207492,0.267744259540637
0.1,0.3,0.006,"Cercozoa_22_1",10.054844606947,19.5391616716514,0.0653171840372352,8.81072432207492,0.267744259540637
1,0.3,0.006,"Cercozoa_22_1",10.054844606947,16.5582801975435,0.0803095509332445,8.81072432207492,0.267744259540637
3,0.3,0.006,"Cercozoa_22_1",10.054844606947,10.841772935902,0.149664130530749,8.81072432207492,0.267744259540637
8,0.3,0.006,"Cercozoa_22_1",10.054844606947,7.27864108416991,0.31284804160578,8.81072432207492,0.267744259540637
0,0.5,0.006,"Cercozoa_22_1",10.054844606947,17.9444984592564,0.0689462038312535,8.81072432207492,0.267744259540637
0.1,0.5,0.006,"Cercozoa_22_1",10.054844606947,17.7790360558185,0.0693759117756357,8.81072432207492,0.267744259540637
1,0.5,0.006,"Cercozoa_22_1",10.054844606947,14.8817916569832,0.0932436563187623,8.81072432207492,0.267744259540637
