"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.606136312583069,0.620285040327677,0.619194871306223,0.659924046434859
0.1,0.1,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.603024580139553,0.625899511198134,0.619194871306223,0.659924046434859
1,0.1,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.578465375255967,0.66783589177385,0.619194871306223,0.659924046434859
3,0.1,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.556717504418043,0.695938187059337,0.619194871306223,0.659924046434859
8,0.1,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.540233279353455,0.720849570330501,0.619194871306223,0.659924046434859
0,0.3,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.610584806212489,0.625929341953146,0.619194871306223,0.659924046434859
0.1,0.3,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.607947031126566,0.630385641073349,0.619194871306223,0.659924046434859
1,0.3,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.589637896673317,0.656743517818212,0.619194871306223,0.659924046434859
3,0.3,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.559215528428029,0.693091285048526,0.619194871306223,0.659924046434859
8,0.3,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.540233279353455,0.720849570330501,0.619194871306223,0.659924046434859
0,0.5,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.617070117209899,0.615598907199322,0.619194871306223,0.659924046434859
0.1,0.5,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.614036900111808,0.620744793534803,0.619194871306223,0.659924046434859
1,0.5,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.590991441715918,0.654572048324878,0.619194871306223,0.659924046434859
3,0.5,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.559215528428029,0.693091285048526,0.619194871306223,0.659924046434859
8,0.5,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.540233279353455,0.720849570330501,0.619194871306223,0.659924046434859
0,0.7,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.618011185948606,0.613737312226392,0.619194871306223,0.659924046434859
0.1,0.7,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.614821531654429,0.619147253956502,0.619194871306223,0.659924046434859
1,0.7,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.590991441715918,0.654572048324878,0.619194871306223,0.659924046434859
3,0.7,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.559215528428029,0.693091285048526,0.619194871306223,0.659924046434859
8,0.7,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.540233279353455,0.720849570330501,0.619194871306223,0.659924046434859
0,0.9,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.618011185948606,0.613737312226392,0.619194871306223,0.659924046434859
0.1,0.9,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.614821531654429,0.619147253956502,0.619194871306223,0.659924046434859
1,0.9,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.590991441715918,0.654572048324878,0.619194871306223,0.659924046434859
3,0.9,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.559215528428029,0.693091285048526,0.619194871306223,0.659924046434859
8,0.9,1,"Chlorophyta__streptophyta_833_1",10.054844606947,0.540233279353455,0.720849570330501,0.619194871306223,0.659924046434859
0,0.1,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.630654178622463,0.611384584015321,0.619194871306223,0.659924046434859
0.1,0.1,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.627028628235751,0.614896366376845,0.619194871306223,0.659924046434859
1,0.1,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.594920658680509,0.649212818608981,0.619194871306223,0.659924046434859
3,0.1,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.55069462505608,0.702484111096397,0.619194871306223,0.659924046434859
8,0.1,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.539393262386662,0.723051083694719,0.619194871306223,0.659924046434859
0,0.3,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.623946447990568,0.597931627838219,0.619194871306223,0.659924046434859
0.1,0.3,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.620056563387256,0.603050882752946,0.619194871306223,0.659924046434859
1,0.3,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.5915256624441,0.642837078607202,0.619194871306223,0.659924046434859
3,0.3,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.55171345246255,0.699931669042806,0.619194871306223,0.659924046434859
8,0.3,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.540279751237653,0.72080848034654,0.619194871306223,0.659924046434859
0,0.5,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.623502724812769,0.591660806723632,0.619194871306223,0.659924046434859
0.1,0.5,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.619913005228054,0.59717820000964,0.619194871306223,0.659924046434859
1,0.5,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.588375593244907,0.647073909983779,0.619194871306223,0.659924046434859
3,0.5,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.554818328037583,0.697524010444814,0.619194871306223,0.659924046434859
8,0.5,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.540233279353455,0.720849570330501,0.619194871306223,0.659924046434859
0,0.7,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.619896955030466,0.595256708662114,0.619194871306223,0.659924046434859
0.1,0.7,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.615843990952662,0.602287593278702,0.619194871306223,0.659924046434859
1,0.7,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.583043240856557,0.658794251239743,0.619194871306223,0.659924046434859
3,0.7,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.556912228024596,0.695764218575188,0.619194871306223,0.659924046434859
8,0.7,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.540233279353455,0.720849570330501,0.619194871306223,0.659924046434859
0,0.9,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.614533719912934,0.605999417350698,0.619194871306223,0.659924046434859
0.1,0.9,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.610082572074399,0.61435610362978,0.619194871306223,0.659924046434859
1,0.9,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.584260136008181,0.659847245887092,0.619194871306223,0.659924046434859
3,0.9,0.178,"Chlorophyta__streptophyta_833_1",10.054844606947,0.559091139842386,0.693309427521471,0.619194871306223,0.659924046434859
