"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Chrysophyceae_16_1",10.054844606947,0.243470520078447,0.00863008029109816,0.346306847604038,-0.0272305286564954
0.1,0.1,1,"Chrysophyceae_16_1",10.054844606947,0.243352437907294,0.00917946798021821,0.346306847604038,-0.0272305286564954
1,0.1,1,"Chrysophyceae_16_1",10.054844606947,0.242952492326476,0.0136078024279735,0.346306847604038,-0.0272305286564954
3,0.1,1,"Chrysophyceae_16_1",10.054844606947,0.24299549520181,0.0188318596503095,0.346306847604038,-0.0272305286564954
8,0.1,1,"Chrysophyceae_16_1",10.054844606947,0.247867274902657,0.00896253015964375,0.346306847604038,-0.0272305286564954
0,0.3,1,"Chrysophyceae_16_1",10.054844606947,0.24344439140672,-0.00314725473124611,0.346306847604038,-0.0272305286564954
0.1,0.3,1,"Chrysophyceae_16_1",10.054844606947,0.24341417423333,-0.00312680279595038,0.346306847604038,-0.0272305286564954
1,0.3,1,"Chrysophyceae_16_1",10.054844606947,0.243305128284634,-0.00488324724503001,0.346306847604038,-0.0272305286564954
3,0.3,1,"Chrysophyceae_16_1",10.054844606947,0.243309203875974,-0.00984361706047167,0.346306847604038,-0.0272305286564954
8,0.3,1,"Chrysophyceae_16_1",10.054844606947,0.247352173775603,0.0045359507764093,0.346306847604038,-0.0272305286564954
0,0.5,1,"Chrysophyceae_16_1",10.054844606947,0.24344439140672,-0.00314725473124611,0.346306847604038,-0.0272305286564954
0.1,0.5,1,"Chrysophyceae_16_1",10.054844606947,0.24341417423333,-0.00312680279595038,0.346306847604038,-0.0272305286564954
1,0.5,1,"Chrysophyceae_16_1",10.054844606947,0.243305128284634,-0.00488324724503001,0.346306847604038,-0.0272305286564954
3,0.5,1,"Chrysophyceae_16_1",10.054844606947,0.243309203875974,-0.00984361706047167,0.346306847604038,-0.0272305286564954
8,0.5,1,"Chrysophyceae_16_1",10.054844606947,0.247352173775603,0.0045359507764093,0.346306847604038,-0.0272305286564954
0,0.7,1,"Chrysophyceae_16_1",10.054844606947,0.24344439140672,-0.00314725473124611,0.346306847604038,-0.0272305286564954
0.1,0.7,1,"Chrysophyceae_16_1",10.054844606947,0.24341417423333,-0.00312680279595038,0.346306847604038,-0.0272305286564954
1,0.7,1,"Chrysophyceae_16_1",10.054844606947,0.243305128284634,-0.00488324724503001,0.346306847604038,-0.0272305286564954
3,0.7,1,"Chrysophyceae_16_1",10.054844606947,0.243309203875974,-0.00984361706047167,0.346306847604038,-0.0272305286564954
8,0.7,1,"Chrysophyceae_16_1",10.054844606947,0.247352173775603,0.0045359507764093,0.346306847604038,-0.0272305286564954
0,0.9,1,"Chrysophyceae_16_1",10.054844606947,0.24344439140672,-0.00314725473124611,0.346306847604038,-0.0272305286564954
0.1,0.9,1,"Chrysophyceae_16_1",10.054844606947,0.24341417423333,-0.00312680279595038,0.346306847604038,-0.0272305286564954
1,0.9,1,"Chrysophyceae_16_1",10.054844606947,0.243305128284634,-0.00488324724503001,0.346306847604038,-0.0272305286564954
3,0.9,1,"Chrysophyceae_16_1",10.054844606947,0.243309203875974,-0.00984361706047167,0.346306847604038,-0.0272305286564954
8,0.9,1,"Chrysophyceae_16_1",10.054844606947,0.247352173775603,0.0045359507764093,0.346306847604038,-0.0272305286564954
0,0.1,0.178,"Chrysophyceae_16_1",10.054844606947,0.25676930512805,0.0444621266258068,0.346306847604038,-0.0272305286564954
0.1,0.1,0.178,"Chrysophyceae_16_1",10.054844606947,0.256554600677039,0.0444610630629875,0.346306847604038,-0.0272305286564954
1,0.1,0.178,"Chrysophyceae_16_1",10.054844606947,0.255077657056221,0.043974052117429,0.346306847604038,-0.0272305286564954
3,0.1,0.178,"Chrysophyceae_16_1",10.054844606947,0.256171630366974,0.0460759664103455,0.346306847604038,-0.0272305286564954
8,0.1,0.178,"Chrysophyceae_16_1",10.054844606947,0.267936220608021,0.0453016747911037,0.346306847604038,-0.0272305286564954
0,0.3,0.178,"Chrysophyceae_16_1",10.054844606947,0.247534634691073,0.0232427718462713,0.346306847604038,-0.0272305286564954
0.1,0.3,0.178,"Chrysophyceae_16_1",10.054844606947,0.247366402677272,0.0233473927181754,0.346306847604038,-0.0272305286564954
1,0.3,0.178,"Chrysophyceae_16_1",10.054844606947,0.245885576685356,0.0290637994157492,0.346306847604038,-0.0272305286564954
3,0.3,0.178,"Chrysophyceae_16_1",10.054844606947,0.246271534423116,0.046924361583637,0.346306847604038,-0.0272305286564954
8,0.3,0.178,"Chrysophyceae_16_1",10.054844606947,0.260946380763114,0.035365675970731,0.346306847604038,-0.0272305286564954
0,0.5,0.178,"Chrysophyceae_16_1",10.054844606947,0.24488746856052,0.0138170204543261,0.346306847604038,-0.0272305286564954
0.1,0.5,0.178,"Chrysophyceae_16_1",10.054844606947,0.244710614301784,0.0149070209917603,0.346306847604038,-0.0272305286564954
1,0.5,0.178,"Chrysophyceae_16_1",10.054844606947,0.243405875162794,0.0255634146252724,0.346306847604038,-0.0272305286564954
3,0.5,0.178,"Chrysophyceae_16_1",10.054844606947,0.24383068878504,0.041500771392964,0.346306847604038,-0.0272305286564954
8,0.5,0.178,"Chrysophyceae_16_1",10.054844606947,0.252149215140102,0.025014375030508,0.346306847604038,-0.0272305286564954
0,0.7,0.178,"Chrysophyceae_16_1",10.054844606947,0.243548811210668,0.0096628569613517,0.346306847604038,-0.0272305286564954
0.1,0.7,0.178,"Chrysophyceae_16_1",10.054844606947,0.243425755251497,0.011618816536689,0.346306847604038,-0.0272305286564954
1,0.7,0.178,"Chrysophyceae_16_1",10.054844606947,0.24306518984977,0.022473175123728,0.346306847604038,-0.0272305286564954
3,0.7,0.178,"Chrysophyceae_16_1",10.054844606947,0.243137492757269,0.0263185702845802,0.346306847604038,-0.0272305286564954
8,0.7,0.178,"Chrysophyceae_16_1",10.054844606947,0.247352173775603,0.0045359507764093,0.346306847604038,-0.0272305286564954
0,0.9,0.178,"Chrysophyceae_16_1",10.054844606947,0.243308493298149,0.00721937766805647,0.346306847604038,-0.0272305286564954
0.1,0.9,0.178,"Chrysophyceae_16_1",10.054844606947,0.243278621346319,0.00835757814120736,0.346306847604038,-0.0272305286564954
1,0.9,0.178,"Chrysophyceae_16_1",10.054844606947,0.243102830636986,0.0108765921799184,0.346306847604038,-0.0272305286564954
3,0.9,0.178,"Chrysophyceae_16_1",10.054844606947,0.24304700504459,0.0098455163184399,0.346306847604038,-0.0272305286564954
8,0.9,0.178,"Chrysophyceae_16_1",10.054844606947,0.247352173775603,0.0045359507764093,0.346306847604038,-0.0272305286564954
0,0.1,0.032,"Chrysophyceae_16_1",10.054844606947,0.296383001192961,0.0541214323157987,0.346306847604038,-0.0272305286564954
0.1,0.1,0.032,"Chrysophyceae_16_1",10.054844606947,0.296140410323526,0.0542172609585796,0.346306847604038,-0.0272305286564954
1,0.1,0.032,"Chrysophyceae_16_1",10.054844606947,0.29537807218689,0.0553678960818394,0.346306847604038,-0.0272305286564954
3,0.1,0.032,"Chrysophyceae_16_1",10.054844606947,0.293867542437181,0.0519650312899868,0.346306847604038,-0.0272305286564954
8,0.1,0.032,"Chrysophyceae_16_1",10.054844606947,0.287582564669993,0.0444926613392365,0.346306847604038,-0.0272305286564954
0,0.3,0.032,"Chrysophyceae_16_1",10.054844606947,0.279077412092825,0.0502942599777781,0.346306847604038,-0.0272305286564954
0.1,0.3,0.032,"Chrysophyceae_16_1",10.054844606947,0.27880561330275,0.0504101223007963,0.346306847604038,-0.0272305286564954
