"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Ciliophora_298_1",10.054844606947,1.08026273057647,0.00370560693313166,0.894213945830247,0.05206496958072
0.1,0.1,1,"Ciliophora_298_1",10.054844606947,1.07314281007094,0.00368208444913372,0.894213945830247,0.05206496958072
1,0.1,1,"Ciliophora_298_1",10.054844606947,1.01921467361229,0.00383803830196869,0.894213945830247,0.05206496958072
3,0.1,1,"Ciliophora_298_1",10.054844606947,0.940686433645393,0.00785776938103654,0.894213945830247,0.05206496958072
8,0.1,1,"Ciliophora_298_1",10.054844606947,0.915150801493923,0.0521793461021121,0.894213945830247,0.05206496958072
0,0.3,1,"Ciliophora_298_1",10.054844606947,0.988297989230411,0.000165190809664028,0.894213945830247,0.05206496958072
0.1,0.3,1,"Ciliophora_298_1",10.054844606947,0.984094322572713,0.000108832505487354,0.894213945830247,0.05206496958072
1,0.3,1,"Ciliophora_298_1",10.054844606947,0.954829283576385,0.00210926124954485,0.894213945830247,0.05206496958072
3,0.3,1,"Ciliophora_298_1",10.054844606947,0.896948992031097,0.0155428232757645,0.894213945830247,0.05206496958072
8,0.3,1,"Ciliophora_298_1",10.054844606947,0.915150801493923,0.0521793461021121,0.894213945830247,0.05206496958072
0,0.5,1,"Ciliophora_298_1",10.054844606947,0.950863430463283,-0.0000947456452309524,0.894213945830247,0.05206496958072
0.1,0.5,1,"Ciliophora_298_1",10.054844606947,0.947602679448041,0.000342654456769702,0.894213945830247,0.05206496958072
1,0.5,1,"Ciliophora_298_1",10.054844606947,0.916166760625527,0.00427204099935158,0.894213945830247,0.05206496958072
3,0.5,1,"Ciliophora_298_1",10.054844606947,0.885395024229524,0.0270077125430347,0.894213945830247,0.05206496958072
8,0.5,1,"Ciliophora_298_1",10.054844606947,0.915150801493923,0.0521793461021121,0.894213945830247,0.05206496958072
0,0.7,1,"Ciliophora_298_1",10.054844606947,0.919241950806218,0.000853733087369249,0.894213945830247,0.05206496958072
