"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Cryptophyta_108_1",10.054844606947,0.200201176348738,0.543397631273656,0.229261647727248,0.508308629955677
0.1,0.1,1,"Cryptophyta_108_1",10.054844606947,0.198895201466759,0.547686424970845,0.229261647727248,0.508308629955677
1,0.1,1,"Cryptophyta_108_1",10.054844606947,0.192580684534357,0.569027494300257,0.229261647727248,0.508308629955677
3,0.1,1,"Cryptophyta_108_1",10.054844606947,0.19005702527209,0.562908205567825,0.229261647727248,0.508308629955677
8,0.1,1,"Cryptophyta_108_1",10.054844606947,0.189490370556262,0.568326962798944,0.229261647727248,0.508308629955677
0,0.3,1,"Cryptophyta_108_1",10.054844606947,0.202753058278528,0.547244802082348,0.229261647727248,0.508308629955677
0.1,0.3,1,"Cryptophyta_108_1",10.054844606947,0.201543688064184,0.549072904712743,0.229261647727248,0.508308629955677
1,0.3,1,"Cryptophyta_108_1",10.054844606947,0.194907589785494,0.557778047988484,0.229261647727248,0.508308629955677
3,0.3,1,"Cryptophyta_108_1",10.054844606947,0.191182456858597,0.555573562901563,0.229261647727248,0.508308629955677
8,0.3,1,"Cryptophyta_108_1",10.054844606947,0.189490370556262,0.568326962798944,0.229261647727248,0.508308629955677
0,0.5,1,"Cryptophyta_108_1",10.054844606947,0.201009237620767,0.558735713250242,0.229261647727248,0.508308629955677
0.1,0.5,1,"Cryptophyta_108_1",10.054844606947,0.199973998839094,0.559280966770844,0.229261647727248,0.508308629955677
1,0.5,1,"Cryptophyta_108_1",10.054844606947,0.195252032348116,0.55565733804541,0.229261647727248,0.508308629955677
3,0.5,1,"Cryptophyta_108_1",10.054844606947,0.191298413723909,0.554704845912156,0.229261647727248,0.508308629955677
8,0.5,1,"Cryptophyta_108_1",10.054844606947,0.189490370556262,0.568326962798944,0.229261647727248,0.508308629955677
0,0.7,1,"Cryptophyta_108_1",10.054844606947,0.20065867393027,0.560505489296628,0.229261647727248,0.508308629955677
0.1,0.7,1,"Cryptophyta_108_1",10.054844606947,0.1997898340354,0.560109552945855,0.229261647727248,0.508308629955677
1,0.7,1,"Cryptophyta_108_1",10.054844606947,0.195237329613603,0.555785064835975,0.229261647727248,0.508308629955677
3,0.7,1,"Cryptophyta_108_1",10.054844606947,0.191298413723909,0.554704845912156,0.229261647727248,0.508308629955677
8,0.7,1,"Cryptophyta_108_1",10.054844606947,0.189490370556262,0.568326962798944,0.229261647727248,0.508308629955677
0,0.9,1,"Cryptophyta_108_1",10.054844606947,0.200651742072759,0.560566466977154,0.229261647727248,0.508308629955677
0.1,0.9,1,"Cryptophyta_108_1",10.054844606947,0.199788187272077,0.560124468311803,0.229261647727248,0.508308629955677
1,0.9,1,"Cryptophyta_108_1",10.054844606947,0.195237329613603,0.555785064835975,0.229261647727248,0.508308629955677
3,0.9,1,"Cryptophyta_108_1",10.054844606947,0.191298413723909,0.554704845912156,0.229261647727248,0.508308629955677
8,0.9,1,"Cryptophyta_108_1",10.054844606947,0.189490370556262,0.568326962798944,0.229261647727248,0.508308629955677
0,0.1,0.178,"Cryptophyta_108_1",10.054844606947,0.247308590578868,0.431656073039769,0.229261647727248,0.508308629955677
0.1,0.1,0.178,"Cryptophyta_108_1",10.054844606947,0.244220413642681,0.435239716095042,0.229261647727248,0.508308629955677
1,0.1,0.178,"Cryptophyta_108_1",10.054844606947,0.219428454996446,0.479954525231425,0.229261647727248,0.508308629955677
3,0.1,0.178,"Cryptophyta_108_1",10.054844606947,0.188499747486562,0.57789895265356,0.229261647727248,0.508308629955677
8,0.1,0.178,"Cryptophyta_108_1",10.054844606947,0.190121779997964,0.569448175828309,0.229261647727248,0.508308629955677
0,0.3,0.178,"Cryptophyta_108_1",10.054844606947,0.218818807289473,0.470112233727853,0.229261647727248,0.508308629955677
0.1,0.3,0.178,"Cryptophyta_108_1",10.054844606947,0.216280013858797,0.47495982617934,0.229261647727248,0.508308629955677
1,0.3,0.178,"Cryptophyta_108_1",10.054844606947,0.198260099977335,0.529259806797007,0.229261647727248,0.508308629955677
3,0.3,0.178,"Cryptophyta_108_1",10.054844606947,0.189430412358953,0.569098918803472,0.229261647727248,0.508308629955677
8,0.3,0.178,"Cryptophyta_108_1",10.054844606947,0.189505879027346,0.568986083703589,0.229261647727248,0.508308629955677
0,0.5,0.178,"Cryptophyta_108_1",10.054844606947,0.208880133186743,0.496832321240292,0.229261647727248,0.508308629955677
0.1,0.5,0.178,"Cryptophyta_108_1",10.054844606947,0.20672723804745,0.503710395776425,0.229261647727248,0.508308629955677
1,0.5,0.178,"Cryptophyta_108_1",10.054844606947,0.19526667383279,0.546436561406913,0.229261647727248,0.508308629955677
3,0.5,0.178,"Cryptophyta_108_1",10.054844606947,0.190300399301081,0.561566193580969,0.229261647727248,0.508308629955677
8,0.5,0.178,"Cryptophyta_108_1",10.054844606947,0.189490370556262,0.568326962798944,0.229261647727248,0.508308629955677
0,0.7,0.178,"Cryptophyta_108_1",10.054844606947,0.204662213284949,0.517959581367576,0.229261647727248,0.508308629955677
0.1,0.7,0.178,"Cryptophyta_108_1",10.054844606947,0.203032194624146,0.523274603620708,0.229261647727248,0.508308629955677
1,0.7,0.178,"Cryptophyta_108_1",10.054844606947,0.196020952724178,0.545295987685737,0.229261647727248,0.508308629955677
