"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Div_reps_1600_1",10.054844606947,0.583370331113163,0.396219802147716,0.695609449988827,0.336674190002107
0.1,0.1,1,"Div_reps_1600_1",10.054844606947,0.583022178762663,0.393348833993487,0.695609449988827,0.336674190002107
1,0.1,1,"Div_reps_1600_1",10.054844606947,0.586418408664584,0.358746276462878,0.695609449988827,0.336674190002107
3,0.1,1,"Div_reps_1600_1",10.054844606947,0.603384187969271,0.300187549742237,0.695609449988827,0.336674190002107
8,0.1,1,"Div_reps_1600_1",10.054844606947,0.616399474797446,0.317459293012942,0.695609449988827,0.336674190002107
0,0.3,1,"Div_reps_1600_1",10.054844606947,0.603494016668363,0.301700054839392,0.695609449988827,0.336674190002107
0.1,0.3,1,"Div_reps_1600_1",10.054844606947,0.602663446662059,0.300879427610211,0.695609449988827,0.336674190002107
1,0.3,1,"Div_reps_1600_1",10.054844606947,0.599428252707121,0.299375547085167,0.695609449988827,0.336674190002107
3,0.3,1,"Div_reps_1600_1",10.054844606947,0.603734173160153,0.297554085898733,0.695609449988827,0.336674190002107
8,0.3,1,"Div_reps_1600_1",10.054844606947,0.616399474797446,0.317459293012942,0.695609449988827,0.336674190002107
0,0.5,1,"Div_reps_1600_1",10.054844606947,0.602932128818871,0.29680355128089,0.695609449988827,0.336674190002107
0.1,0.5,1,"Div_reps_1600_1",10.054844606947,0.602233226584693,0.29715730433575,0.695609449988827,0.336674190002107
1,0.5,1,"Div_reps_1600_1",10.054844606947,0.599397824382216,0.299362295260572,0.695609449988827,0.336674190002107
3,0.5,1,"Div_reps_1600_1",10.054844606947,0.603734173160153,0.297554085898733,0.695609449988827,0.336674190002107
8,0.5,1,"Div_reps_1600_1",10.054844606947,0.616399474797446,0.317459293012942,0.695609449988827,0.336674190002107
0,0.7,1,"Div_reps_1600_1",10.054844606947,0.603132276397661,0.296206027326493,0.695609449988827,0.336674190002107
0.1,0.7,1,"Div_reps_1600_1",10.054844606947,0.60234393071508,0.296843214562929,0.695609449988827,0.336674190002107
1,0.7,1,"Div_reps_1600_1",10.054844606947,0.599397824382216,0.299362295260572,0.695609449988827,0.336674190002107
3,0.7,1,"Div_reps_1600_1",10.054844606947,0.603734173160153,0.297554085898733,0.695609449988827,0.336674190002107
8,0.7,1,"Div_reps_1600_1",10.054844606947,0.616399474797446,0.317459293012942,0.695609449988827,0.336674190002107
0,0.9,1,"Div_reps_1600_1",10.054844606947,0.603132276397661,0.296206027326493,0.695609449988827,0.336674190002107
0.1,0.9,1,"Div_reps_1600_1",10.054844606947,0.60234393071508,0.296843214562929,0.695609449988827,0.336674190002107
1,0.9,1,"Div_reps_1600_1",10.054844606947,0.599397824382216,0.299362295260572,0.695609449988827,0.336674190002107
3,0.9,1,"Div_reps_1600_1",10.054844606947,0.603734173160153,0.297554085898733,0.695609449988827,0.336674190002107
8,0.9,1,"Div_reps_1600_1",10.054844606947,0.616399474797446,0.317459293012942,0.695609449988827,0.336674190002107
0,0.1,0.178,"Div_reps_1600_1",10.054844606947,0.715150828711582,0.341314600860165,0.695609449988827,0.336674190002107
0.1,0.1,0.178,"Div_reps_1600_1",10.054844606947,0.704984770741479,0.346069529858631,0.695609449988827,0.336674190002107
1,0.1,0.178,"Div_reps_1600_1",10.054844606947,0.63333435427667,0.387474118254256,0.695609449988827,0.336674190002107
3,0.1,0.178,"Div_reps_1600_1",10.054844606947,0.571945253244648,0.439459697902436,0.695609449988827,0.336674190002107
8,0.1,0.178,"Div_reps_1600_1",10.054844606947,0.609556844616724,0.339669499688695,0.695609449988827,0.336674190002107
0,0.3,0.178,"Div_reps_1600_1",10.054844606947,0.619643397003979,0.391189998540522,0.695609449988827,0.336674190002107
