"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Katablepharidophyta_7_1",10.054844606947,0.180250561915899,0.390651485893715,0.209307206247518,0.415032725229373
0.1,0.1,1,"Katablepharidophyta_7_1",10.054844606947,0.180216779928387,0.390609281090287,0.209307206247518,0.415032725229373
1,0.1,1,"Katablepharidophyta_7_1",10.054844606947,0.181308701146381,0.376149391699608,0.209307206247518,0.415032725229373
3,0.1,1,"Katablepharidophyta_7_1",10.054844606947,0.18234150226348,0.367388565169229,0.209307206247518,0.415032725229373
8,0.1,1,"Katablepharidophyta_7_1",10.054844606947,0.186935368765251,0.32411153084668,0.209307206247518,0.415032725229373
0,0.3,1,"Katablepharidophyta_7_1",10.054844606947,0.182960115884226,0.359666677548307,0.209307206247518,0.415032725229373
0.1,0.3,1,"Katablepharidophyta_7_1",10.054844606947,0.182884974982651,0.360088523820777,0.209307206247518,0.415032725229373
1,0.3,1,"Katablepharidophyta_7_1",10.054844606947,0.182168158295409,0.367091746268235,0.209307206247518,0.415032725229373
3,0.3,1,"Katablepharidophyta_7_1",10.054844606947,0.182209628289033,0.369247328643537,0.209307206247518,0.415032725229373
8,0.3,1,"Katablepharidophyta_7_1",10.054844606947,0.186935368765251,0.32411153084668,0.209307206247518,0.415032725229373
0,0.5,1,"Katablepharidophyta_7_1",10.054844606947,0.182952629313474,0.359609737835571,0.209307206247518,0.415032725229373
0.1,0.5,1,"Katablepharidophyta_7_1",10.054844606947,0.182833702086853,0.360623532234181,0.209307206247518,0.415032725229373
1,0.5,1,"Katablepharidophyta_7_1",10.054844606947,0.182141296032413,0.367444195602496,0.209307206247518,0.415032725229373
3,0.5,1,"Katablepharidophyta_7_1",10.054844606947,0.182209628289033,0.369247328643537,0.209307206247518,0.415032725229373
8,0.5,1,"Katablepharidophyta_7_1",10.054844606947,0.186935368765251,0.32411153084668,0.209307206247518,0.415032725229373
0,0.7,1,"Katablepharidophyta_7_1",10.054844606947,0.18295278457431,0.359609364327539,0.209307206247518,0.415032725229373
0.1,0.7,1,"Katablepharidophyta_7_1",10.054844606947,0.182833702086853,0.360623532234181,0.209307206247518,0.415032725229373
1,0.7,1,"Katablepharidophyta_7_1",10.054844606947,0.182141296032413,0.367444195602496,0.209307206247518,0.415032725229373
3,0.7,1,"Katablepharidophyta_7_1",10.054844606947,0.182209628289033,0.369247328643537,0.209307206247518,0.415032725229373
8,0.7,1,"Katablepharidophyta_7_1",10.054844606947,0.186935368765251,0.32411153084668,0.209307206247518,0.415032725229373
0,0.9,1,"Katablepharidophyta_7_1",10.054844606947,0.18295278457431,0.359609364327539,0.209307206247518,0.415032725229373
0.1,0.9,1,"Katablepharidophyta_7_1",10.054844606947,0.182833702086853,0.360623532234181,0.209307206247518,0.415032725229373
1,0.9,1,"Katablepharidophyta_7_1",10.054844606947,0.182141296032413,0.367444195602496,0.209307206247518,0.415032725229373
3,0.9,1,"Katablepharidophyta_7_1",10.054844606947,0.182209628289033,0.369247328643537,0.209307206247518,0.415032725229373
8,0.9,1,"Katablepharidophyta_7_1",10.054844606947,0.186935368765251,0.32411153084668,0.209307206247518,0.415032725229373
0,0.1,0.178,"Katablepharidophyta_7_1",10.054844606947,0.186886853547962,0.363301090059111,0.209307206247518,0.415032725229373
0.1,0.1,0.178,"Katablepharidophyta_7_1",10.054844606947,0.186396571284706,0.364536189278666,0.209307206247518,0.415032725229373
1,0.1,0.178,"Katablepharidophyta_7_1",10.054844606947,0.183789125564516,0.369658216280534,0.209307206247518,0.415032725229373
3,0.1,0.178,"Katablepharidophyta_7_1",10.054844606947,0.183930713589934,0.354134579357949,0.209307206247518,0.415032725229373
8,0.1,0.178,"Katablepharidophyta_7_1",10.054844606947,0.191122252818516,0.287745667793383,0.209307206247518,0.415032725229373
0,0.3,0.178,"Katablepharidophyta_7_1",10.054844606947,0.182470683782167,0.373753265319111,0.209307206247518,0.415032725229373
0.1,0.3,0.178,"Katablepharidophyta_7_1",10.054844606947,0.182045965579129,0.37663027303753,0.209307206247518,0.415032725229373
1,0.3,0.178,"Katablepharidophyta_7_1",10.054844606947,0.180318989790944,0.388527845966676,0.209307206247518,0.415032725229373
