"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Lobosa_11_1",10.054844606947,0.486683152700446,0.164634010998419,0.622101738946688,0.160261535433865
0.1,0.1,1,"Lobosa_11_1",10.054844606947,0.486230882549175,0.163713513252435,0.622101738946688,0.160261535433865
1,0.1,1,"Lobosa_11_1",10.054844606947,0.484972469310272,0.148206815271583,0.622101738946688,0.160261535433865
3,0.1,1,"Lobosa_11_1",10.054844606947,0.484072707564646,0.139013350722628,0.622101738946688,0.160261535433865
8,0.1,1,"Lobosa_11_1",10.054844606947,0.505880147536633,0.133595240940547,0.622101738946688,0.160261535433865
0,0.3,1,"Lobosa_11_1",10.054844606947,0.485726772041609,0.141976215830253,0.622101738946688,0.160261535433865
0.1,0.3,1,"Lobosa_11_1",10.054844606947,0.484907602280057,0.142812447628874,0.622101738946688,0.160261535433865
1,0.3,1,"Lobosa_11_1",10.054844606947,0.480958076152904,0.146909912304654,0.622101738946688,0.160261535433865
3,0.3,1,"Lobosa_11_1",10.054844606947,0.481108007228779,0.148112352970267,0.622101738946688,0.160261535433865
8,0.3,1,"Lobosa_11_1",10.054844606947,0.505880147536633,0.133595240940547,0.622101738946688,0.160261535433865
0,0.5,1,"Lobosa_11_1",10.054844606947,0.484957654994206,0.14369623179966,0.622101738946688,0.160261535433865
0.1,0.5,1,"Lobosa_11_1",10.054844606947,0.484264965898263,0.144097790403981,0.622101738946688,0.160261535433865
1,0.5,1,"Lobosa_11_1",10.054844606947,0.48092313217682,0.147064099284535,0.622101738946688,0.160261535433865
3,0.5,1,"Lobosa_11_1",10.054844606947,0.481108007228779,0.148112352970267,0.622101738946688,0.160261535433865
8,0.5,1,"Lobosa_11_1",10.054844606947,0.505880147536633,0.133595240940547,0.622101738946688,0.160261535433865
0,0.7,1,"Lobosa_11_1",10.054844606947,0.484957654994206,0.14369623179966,0.622101738946688,0.160261535433865
0.1,0.7,1,"Lobosa_11_1",10.054844606947,0.484264965898263,0.144097790403981,0.622101738946688,0.160261535433865
1,0.7,1,"Lobosa_11_1",10.054844606947,0.48092313217682,0.147064099284535,0.622101738946688,0.160261535433865
3,0.7,1,"Lobosa_11_1",10.054844606947,0.481108007228779,0.148112352970267,0.622101738946688,0.160261535433865
8,0.7,1,"Lobosa_11_1",10.054844606947,0.505880147536633,0.133595240940547,0.622101738946688,0.160261535433865
0,0.9,1,"Lobosa_11_1",10.054844606947,0.484957654994206,0.14369623179966,0.622101738946688,0.160261535433865
0.1,0.9,1,"Lobosa_11_1",10.054844606947,0.484264965898263,0.144097790403981,0.622101738946688,0.160261535433865
1,0.9,1,"Lobosa_11_1",10.054844606947,0.48092313217682,0.147064099284535,0.622101738946688,0.160261535433865
3,0.9,1,"Lobosa_11_1",10.054844606947,0.481108007228779,0.148112352970267,0.622101738946688,0.160261535433865
8,0.9,1,"Lobosa_11_1",10.054844606947,0.505880147536633,0.133595240940547,0.622101738946688,0.160261535433865
0,0.1,0.178,"Lobosa_11_1",10.054844606947,0.569899951814475,0.121727132674411,0.622101738946688,0.160261535433865
0.1,0.1,0.178,"Lobosa_11_1",10.054844606947,0.564456014247623,0.123793742167661,0.622101738946688,0.160261535433865
1,0.1,0.178,"Lobosa_11_1",10.054844606947,0.533082401433451,0.138285781930383,0.622101738946688,0.160261535433865
3,0.1,0.178,"Lobosa_11_1",10.054844606947,0.507145448651874,0.143490766398025,0.622101738946688,0.160261535433865
8,0.1,0.178,"Lobosa_11_1",10.054844606947,0.513133346846111,0.128000059546594,0.622101738946688,0.160261535433865
0,0.3,0.178,"Lobosa_11_1",10.054844606947,0.505131722841161,0.159397781562025,0.622101738946688,0.160261535433865
0.1,0.3,0.178,"Lobosa_11_1",10.054844606947,0.503392373095441,0.159390482910535,0.622101738946688,0.160261535433865
1,0.3,0.178,"Lobosa_11_1",10.054844606947,0.492586571683943,0.158782496641793,0.622101738946688,0.160261535433865
3,0.3,0.178,"Lobosa_11_1",10.054844606947,0.493969179973269,0.132347245071917,0.622101738946688,0.160261535433865
8,0.3,0.178,"Lobosa_11_1",10.054844606947,0.504787715871288,0.135107831632482,0.622101738946688,0.160261535433865
0,0.5,0.178,"Lobosa_11_1",10.054844606947,0.492004227511678,0.162346337094488,0.622101738946688,0.160261535433865
0.1,0.5,0.178,"Lobosa_11_1",10.054844606947,0.491031852971995,0.162527911133391,0.622101738946688,0.160261535433865
1,0.5,0.178,"Lobosa_11_1",10.054844606947,0.488843840382588,0.150465842849759,0.622101738946688,0.160261535433865
3,0.5,0.178,"Lobosa_11_1",10.054844606947,0.487801149522327,0.132278673191445,0.622101738946688,0.160261535433865
8,0.5,0.178,"Lobosa_11_1",10.054844606947,0.505880147536633,0.133595240940547,0.622101738946688,0.160261535433865
0,0.7,0.178,"Lobosa_11_1",10.054844606947,0.490001850762072,0.158270495763325,0.622101738946688,0.160261535433865
0.1,0.7,0.178,"Lobosa_11_1",10.054844606947,0.489695579555438,0.156303393638437,0.622101738946688,0.160261535433865
1,0.7,0.178,"Lobosa_11_1",10.054844606947,0.486340868016673,0.145426136236963,0.622101738946688,0.160261535433865
3,0.7,0.178,"Lobosa_11_1",10.054844606947,0.483989586923515,0.138838899160462,0.622101738946688,0.160261535433865
8,0.7,0.178,"Lobosa_11_1",10.054844606947,0.505880147536633,0.133595240940547,0.622101738946688,0.160261535433865
0,0.9,0.178,"Lobosa_11_1",10.054844606947,0.489284965680539,0.153888093791376,0.622101738946688,0.160261535433865
0.1,0.9,0.178,"Lobosa_11_1",10.054844606947,0.488285326861767,0.15376508359635,0.622101738946688,0.160261535433865
1,0.9,0.178,"Lobosa_11_1",10.054844606947,0.484234171474147,0.141955242081012,0.622101738946688,0.160261535433865
3,0.9,0.178,"Lobosa_11_1",10.054844606947,0.481680679880873,0.146021346840431,0.622101738946688,0.160261535433865
8,0.9,0.178,"Lobosa_11_1",10.054844606947,0.505880147536633,0.133595240940547,0.622101738946688,0.160261535433865
0,0.1,0.032,"Lobosa_11_1",10.054844606947,0.83958674358584,0.0636789506134278,0.622101738946688,0.160261535433865
0.1,0.1,0.032,"Lobosa_11_1",10.054844606947,0.828158342415681,0.0647761871692404,0.622101738946688,0.160261535433865
1,0.1,0.032,"Lobosa_11_1",10.054844606947,0.747205423192284,0.0740658056920373,0.622101738946688,0.160261535433865
3,0.1,0.032,"Lobosa_11_1",10.054844606947,0.622688619519631,0.102315571787553,0.622101738946688,0.160261535433865
8,0.1,0.032,"Lobosa_11_1",10.054844606947,0.541536866025897,0.127402225508386,0.622101738946688,0.160261535433865
0,0.3,0.032,"Lobosa_11_1",10.054844606947,0.725843857793212,0.0827755788243576,0.622101738946688,0.160261535433865
0.1,0.3,0.032,"Lobosa_11_1",10.054844606947,0.715417300156727,0.0849824883152566,0.622101738946688,0.160261535433865
1,0.3,0.032,"Lobosa_11_1",10.054844606947,0.647340848902961,0.101138164214679,0.622101738946688,0.160261535433865
3,0.3,0.032,"Lobosa_11_1",10.054844606947,0.554123979910603,0.126632012289089,0.622101738946688,0.160261535433865
8,0.3,0.032,"Lobosa_11_1",10.054844606947,0.525025875010834,0.127094394723068,0.622101738946688,0.160261535433865
0,0.5,0.032,"Lobosa_11_1",10.054844606947,0.639532610108671,0.104410033088645,0.622101738946688,0.160261535433865
