"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Phylum_reps_1985_1",10.054844606947,0.759028129450484,0.515116725469367,0.863176326599876,0.523437738799143
0.1,0.1,1,"Phylum_reps_1985_1",10.054844606947,0.756646625509977,0.518444510686302,0.863176326599876,0.523437738799143
1,0.1,1,"Phylum_reps_1985_1",10.054844606947,0.750433589991037,0.528172794325209,0.863176326599876,0.523437738799143
3,0.1,1,"Phylum_reps_1985_1",10.054844606947,0.747438746774618,0.53885943900777,0.863176326599876,0.523437738799143
8,0.1,1,"Phylum_reps_1985_1",10.054844606947,0.752679831700473,0.551461823132166,0.863176326599876,0.523437738799143
0,0.3,1,"Phylum_reps_1985_1",10.054844606947,0.760695950528239,0.50958887024001,0.863176326599876,0.523437738799143
0.1,0.3,1,"Phylum_reps_1985_1",10.054844606947,0.7599098853383,0.510957464580678,0.863176326599876,0.523437738799143
1,0.3,1,"Phylum_reps_1985_1",10.054844606947,0.753662283571486,0.522582322835052,0.863176326599876,0.523437738799143
3,0.3,1,"Phylum_reps_1985_1",10.054844606947,0.746979773350768,0.539606502421458,0.863176326599876,0.523437738799143
8,0.3,1,"Phylum_reps_1985_1",10.054844606947,0.752679831700473,0.551461823132166,0.863176326599876,0.523437738799143
0,0.5,1,"Phylum_reps_1985_1",10.054844606947,0.760797204538012,0.509377592596941,0.863176326599876,0.523437738799143
0.1,0.5,1,"Phylum_reps_1985_1",10.054844606947,0.759936715982178,0.510886937469819,0.863176326599876,0.523437738799143
1,0.5,1,"Phylum_reps_1985_1",10.054844606947,0.753662283571486,0.522582322835052,0.863176326599876,0.523437738799143
3,0.5,1,"Phylum_reps_1985_1",10.054844606947,0.746979773350768,0.539606502421458,0.863176326599876,0.523437738799143
8,0.5,1,"Phylum_reps_1985_1",10.054844606947,0.752679831700473,0.551461823132166,0.863176326599876,0.523437738799143
0,0.7,1,"Phylum_reps_1985_1",10.054844606947,0.760797204538012,0.509377592596941,0.863176326599876,0.523437738799143
0.1,0.7,1,"Phylum_reps_1985_1",10.054844606947,0.759936715982178,0.510886937469819,0.863176326599876,0.523437738799143
1,0.7,1,"Phylum_reps_1985_1",10.054844606947,0.753662283571486,0.522582322835052,0.863176326599876,0.523437738799143
3,0.7,1,"Phylum_reps_1985_1",10.054844606947,0.746979773350768,0.539606502421458,0.863176326599876,0.523437738799143
8,0.7,1,"Phylum_reps_1985_1",10.054844606947,0.752679831700473,0.551461823132166,0.863176326599876,0.523437738799143
0,0.9,1,"Phylum_reps_1985_1",10.054844606947,0.760797204538012,0.509377592596941,0.863176326599876,0.523437738799143
0.1,0.9,1,"Phylum_reps_1985_1",10.054844606947,0.759936715982178,0.510886937469819,0.863176326599876,0.523437738799143
1,0.9,1,"Phylum_reps_1985_1",10.054844606947,0.753662283571486,0.522582322835052,0.863176326599876,0.523437738799143
3,0.9,1,"Phylum_reps_1985_1",10.054844606947,0.746979773350768,0.539606502421458,0.863176326599876,0.523437738799143
8,0.9,1,"Phylum_reps_1985_1",10.054844606947,0.752679831700473,0.551461823132166,0.863176326599876,0.523437738799143
0,0.1,0.178,"Phylum_reps_1985_1",10.054844606947,0.851325897714764,0.474753936112328,0.863176326599876,0.523437738799143
0.1,0.1,0.178,"Phylum_reps_1985_1",10.054844606947,0.845062301650192,0.477971662521846,0.863176326599876,0.523437738799143
1,0.1,0.178,"Phylum_reps_1985_1",10.054844606947,0.794996526508638,0.510066410570397,0.863176326599876,0.523437738799143
3,0.1,0.178,"Phylum_reps_1985_1",10.054844606947,0.736396903454379,0.562492915211363,0.863176326599876,0.523437738799143
8,0.1,0.178,"Phylum_reps_1985_1",10.054844606947,0.757233700587915,0.545802060898034,0.863176326599876,0.523437738799143
0,0.3,0.178,"Phylum_reps_1985_1",10.054844606947,0.831309131387158,0.449913096866893,0.863176326599876,0.523437738799143
0.1,0.3,0.178,"Phylum_reps_1985_1",10.054844606947,0.826222380116819,0.454148682200915,0.863176326599876,0.523437738799143
1,0.3,0.178,"Phylum_reps_1985_1",10.054844606947,0.770521100028707,0.508670280068593,0.863176326599876,0.523437738799143
3,0.3,0.178,"Phylum_reps_1985_1",10.054844606947,0.751079809592512,0.533545854204467,0.863176326599876,0.523437738799143
8,0.3,0.178,"Phylum_reps_1985_1",10.054844606947,0.753072417667247,0.550944427873446,0.863176326599876,0.523437738799143
0,0.5,0.178,"Phylum_reps_1985_1",10.054844606947,0.798163427098882,0.469438091616705,0.863176326599876,0.523437738799143
0.1,0.5,0.178,"Phylum_reps_1985_1",10.054844606947,0.788328327314244,0.480490580145026,0.863176326599876,0.523437738799143
1,0.5,0.178,"Phylum_reps_1985_1",10.054844606947,0.749980203364642,0.530217347141975,0.863176326599876,0.523437738799143
3,0.5,0.178,"Phylum_reps_1985_1",10.054844606947,0.749973098622777,0.53501790556417,0.863176326599876,0.523437738799143
8,0.5,0.178,"Phylum_reps_1985_1",10.054844606947,0.752679831700473,0.551461823132166,0.863176326599876,0.523437738799143
0,0.7,0.178,"Phylum_reps_1985_1",10.054844606947,0.765165469290754,0.505405588169127,0.863176326599876,0.523437738799143
0.1,0.7,0.178,"Phylum_reps_1985_1",10.054844606947,0.761100850313863,0.511320473609254,0.863176326599876,0.523437738799143
1,0.7,0.178,"Phylum_reps_1985_1",10.054844606947,0.756801801119598,0.518076093748171,0.863176326599876,0.523437738799143
3,0.7,0.178,"Phylum_reps_1985_1",10.054844606947,0.747561993970376,0.538668124652197,0.863176326599876,0.523437738799143
8,0.7,0.178,"Phylum_reps_1985_1",10.054844606947,0.752679831700473,0.551461823132166,0.863176326599876,0.523437738799143
0,0.9,0.178,"Phylum_reps_1985_1",10.054844606947,0.75798916302068,0.515109118068932,0.863176326599876,0.523437738799143
0.1,0.9,0.178,"Phylum_reps_1985_1",10.054844606947,0.757537061534739,0.516000912949489,0.863176326599876,0.523437738799143
1,0.9,0.178,"Phylum_reps_1985_1",10.054844606947,0.75518966001371,0.520270222840894,0.863176326599876,0.523437738799143
3,0.9,0.178,"Phylum_reps_1985_1",10.054844606947,0.746979773350768,0.539606502421458,0.863176326599876,0.523437738799143
8,0.9,0.178,"Phylum_reps_1985_1",10.054844606947,0.752679831700473,0.551461823132166,0.863176326599876,0.523437738799143
0,0.1,0.032,"Phylum_reps_1985_1",10.054844606947,1.01412526912476,0.444483409778917,0.863176326599876,0.523437738799143
0.1,0.1,0.032,"Phylum_reps_1985_1",10.054844606947,1.00902598069595,0.445913627789888,0.863176326599876,0.523437738799143
1,0.1,0.032,"Phylum_reps_1985_1",10.054844606947,0.923552084934452,0.483909833368973,0.863176326599876,0.523437738799143
3,0.1,0.032,"Phylum_reps_1985_1",10.054844606947,0.797027941876437,0.548402132254543,0.863176326599876,0.523437738799143
8,0.1,0.032,"Phylum_reps_1985_1",10.054844606947,0.726584521817776,0.590155449651394,0.863176326599876,0.523437738799143
0,0.3,0.032,"Phylum_reps_1985_1",10.054844606947,0.9565572739977,0.449359728542739,0.863176326599876,0.523437738799143
0.1,0.3,0.032,"Phylum_reps_1985_1",10.054844606947,0.947665622264217,0.453208474911552,0.863176326599876,0.523437738799143
