"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Picozoa_6_1",10.054844606947,0.0933663173002111,0.491106547442329,0.120174354136115,0.31321417754093
0.1,0.1,1,"Picozoa_6_1",10.054844606947,0.0932121210994122,0.489071648965875,0.120174354136115,0.31321417754093
1,0.1,1,"Picozoa_6_1",10.054844606947,0.0929681042685812,0.467693385365225,0.120174354136115,0.31321417754093
3,0.1,1,"Picozoa_6_1",10.054844606947,0.092095818895809,0.444466163872445,0.120174354136115,0.31321417754093
8,0.1,1,"Picozoa_6_1",10.054844606947,0.0920932190188362,0.412946683853089,0.120174354136115,0.31321417754093
0,0.3,1,"Picozoa_6_1",10.054844606947,0.0971739663709734,0.469517632838861,0.120174354136115,0.31321417754093
0.1,0.3,1,"Picozoa_6_1",10.054844606947,0.0966006312141364,0.46878263413932,0.120174354136115,0.31321417754093
1,0.3,1,"Picozoa_6_1",10.054844606947,0.0934823370419502,0.465533677664512,0.120174354136115,0.31321417754093
3,0.3,1,"Picozoa_6_1",10.054844606947,0.0921358262634507,0.445869009253834,0.120174354136115,0.31321417754093
8,0.3,1,"Picozoa_6_1",10.054844606947,0.0920932190188362,0.412946683853089,0.120174354136115,0.31321417754093
0,0.5,1,"Picozoa_6_1",10.054844606947,0.0970881089686573,0.470955859567801,0.120174354136115,0.31321417754093
0.1,0.5,1,"Picozoa_6_1",10.054844606947,0.0965129262083667,0.470771829018997,0.120174354136115,0.31321417754093
1,0.5,1,"Picozoa_6_1",10.054844606947,0.093485378456454,0.465429388753289,0.120174354136115,0.31321417754093
3,0.5,1,"Picozoa_6_1",10.054844606947,0.0921358262634507,0.445869009253834,0.120174354136115,0.31321417754093
8,0.5,1,"Picozoa_6_1",10.054844606947,0.0920932190188362,0.412946683853089,0.120174354136115,0.31321417754093
0,0.7,1,"Picozoa_6_1",10.054844606947,0.0970881089686573,0.470955859567801,0.120174354136115,0.31321417754093
0.1,0.7,1,"Picozoa_6_1",10.054844606947,0.0965129262083667,0.470771829018997,0.120174354136115,0.31321417754093
1,0.7,1,"Picozoa_6_1",10.054844606947,0.093485378456454,0.465429388753289,0.120174354136115,0.31321417754093
3,0.7,1,"Picozoa_6_1",10.054844606947,0.0921358262634507,0.445869009253834,0.120174354136115,0.31321417754093
8,0.7,1,"Picozoa_6_1",10.054844606947,0.0920932190188362,0.412946683853089,0.120174354136115,0.31321417754093
0,0.9,1,"Picozoa_6_1",10.054844606947,0.0970881089686573,0.470955859567801,0.120174354136115,0.31321417754093
0.1,0.9,1,"Picozoa_6_1",10.054844606947,0.0965129262083667,0.470771829018997,0.120174354136115,0.31321417754093
1,0.9,1,"Picozoa_6_1",10.054844606947,0.093485378456454,0.465429388753289,0.120174354136115,0.31321417754093
3,0.9,1,"Picozoa_6_1",10.054844606947,0.0921358262634507,0.445869009253834,0.120174354136115,0.31321417754093
8,0.9,1,"Picozoa_6_1",10.054844606947,0.0920932190188362,0.412946683853089,0.120174354136115,0.31321417754093
0,0.1,0.178,"Picozoa_6_1",10.054844606947,0.0992092219434376,0.413552170764937,0.120174354136115,0.31321417754093
0.1,0.1,0.178,"Picozoa_6_1",10.054844606947,0.0983632401808707,0.416510440222058,0.120174354136115,0.31321417754093
1,0.1,0.178,"Picozoa_6_1",10.054844606947,0.0927819747064995,0.444766051595729,0.120174354136115,0.31321417754093
3,0.1,0.178,"Picozoa_6_1",10.054844606947,0.0897799845372247,0.464664567274027,0.120174354136115,0.31321417754093
8,0.1,0.178,"Picozoa_6_1",10.054844606947,0.09255134721662,0.402826961100907,0.120174354136115,0.31321417754093
0,0.3,0.178,"Picozoa_6_1",10.054844606947,0.0931513847006077,0.449931733357818,0.120174354136115,0.31321417754093
0.1,0.3,0.178,"Picozoa_6_1",10.054844606947,0.0928141707005165,0.451165953988402,0.120174354136115,0.31321417754093
1,0.3,0.178,"Picozoa_6_1",10.054844606947,0.0910685239662576,0.456839751278402,0.120174354136115,0.31321417754093
3,0.3,0.178,"Picozoa_6_1",10.054844606947,0.0921244001258952,0.429863694537175,0.120174354136115,0.31321417754093
8,0.3,0.178,"Picozoa_6_1",10.054844606947,0.0920870261829596,0.413050699411547,0.120174354136115,0.31321417754093
0,0.5,0.178,"Picozoa_6_1",10.054844606947,0.0935290603552202,0.459525871037155,0.120174354136115,0.31321417754093
0.1,0.5,0.178,"Picozoa_6_1",10.054844606947,0.093345808723132,0.458296848105159,0.120174354136115,0.31321417754093
1,0.5,0.178,"Picozoa_6_1",10.054844606947,0.0924850285289983,0.455911024952828,0.120174354136115,0.31321417754093
3,0.5,0.178,"Picozoa_6_1",10.054844606947,0.0921129615237017,0.439822449928978,0.120174354136115,0.31321417754093
8,0.5,0.178,"Picozoa_6_1",10.054844606947,0.0920932190188362,0.412946683853089,0.120174354136115,0.31321417754093
0,0.7,0.178,"Picozoa_6_1",10.054844606947,0.0947770584692859,0.462866714942044,0.120174354136115,0.31321417754093
0.1,0.7,0.178,"Picozoa_6_1",10.054844606947,0.094505141148825,0.463768826421045,0.120174354136115,0.31321417754093
1,0.7,0.178,"Picozoa_6_1",10.054844606947,0.0938879422670657,0.450159809146279,0.120174354136115,0.31321417754093
3,0.7,0.178,"Picozoa_6_1",10.054844606947,0.0920783099407483,0.445386172752236,0.120174354136115,0.31321417754093
8,0.7,0.178,"Picozoa_6_1",10.054844606947,0.0920932190188362,0.412946683853089,0.120174354136115,0.31321417754093
0,0.9,0.178,"Picozoa_6_1",10.054844606947,0.0960405728548625,0.469496261061712,0.120174354136115,0.31321417754093
0.1,0.9,0.178,"Picozoa_6_1",10.054844606947,0.0958255373477572,0.468979559355561,0.120174354136115,0.31321417754093
1,0.9,0.178,"Picozoa_6_1",10.054844606947,0.0936242849178501,0.459698389060594,0.120174354136115,0.31321417754093
3,0.9,0.178,"Picozoa_6_1",10.054844606947,0.0921030012609559,0.446547898213775,0.120174354136115,0.31321417754093
8,0.9,0.178,"Picozoa_6_1",10.054844606947,0.0920932190188362,0.412946683853089,0.120174354136115,0.31321417754093
0,0.1,0.032,"Picozoa_6_1",10.054844606947,0.139123565413546,0.270089170601339,0.120174354136115,0.31321417754093
0.1,0.1,0.032,"Picozoa_6_1",10.054844606947,0.137573554110644,0.273798191528874,0.120174354136115,0.31321417754093
1,0.1,0.032,"Picozoa_6_1",10.054844606947,0.12705510402448,0.306664777097218,0.120174354136115,0.31321417754093
