"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Planctomycetes_34_1",10.054844606947,0.117963117278422,0.297589603801091,0.113830458014621,0.377581768132698
0.1,0.1,1,"Planctomycetes_34_1",10.054844606947,0.115790137165413,0.305927512016669,0.113830458014621,0.377581768132698
1,0.1,1,"Planctomycetes_34_1",10.054844606947,0.103189501982064,0.381435391547682,0.113830458014621,0.377581768132698
3,0.1,1,"Planctomycetes_34_1",10.054844606947,0.0987391005365676,0.424688592263024,0.113830458014621,0.377581768132698
8,0.1,1,"Planctomycetes_34_1",10.054844606947,0.103482452206942,0.4065450848321,0.113830458014621,0.377581768132698
0,0.3,1,"Planctomycetes_34_1",10.054844606947,0.107368110207298,0.339826933076239,0.113830458014621,0.377581768132698
0.1,0.3,1,"Planctomycetes_34_1",10.054844606947,0.105747912161911,0.348231256966703,0.113830458014621,0.377581768132698
1,0.3,1,"Planctomycetes_34_1",10.054844606947,0.0977124036387213,0.403993581122726,0.113830458014621,0.377581768132698
3,0.3,1,"Planctomycetes_34_1",10.054844606947,0.0955480267215865,0.440990046276294,0.113830458014621,0.377581768132698
8,0.3,1,"Planctomycetes_34_1",10.054844606947,0.10349512414825,0.406479595623479,0.113830458014621,0.377581768132698
0,0.5,1,"Planctomycetes_34_1",10.054844606947,0.103965575384861,0.342834604606835,0.113830458014621,0.377581768132698
0.1,0.5,1,"Planctomycetes_34_1",10.054844606947,0.102522863582977,0.352387491668431,0.113830458014621,0.377581768132698
1,0.5,1,"Planctomycetes_34_1",10.054844606947,0.0945303223281331,0.425661561255932,0.113830458014621,0.377581768132698
3,0.5,1,"Planctomycetes_34_1",10.054844606947,0.0958082863113471,0.439344288197732,0.113830458014621,0.377581768132698
8,0.5,1,"Planctomycetes_34_1",10.054844606947,0.10349512414825,0.406479595623479,0.113830458014621,0.377581768132698
0,0.7,1,"Planctomycetes_34_1",10.054844606947,0.101360211285779,0.351400505655072,0.113830458014621,0.377581768132698
0.1,0.7,1,"Planctomycetes_34_1",10.054844606947,0.0998566918983544,0.365342527023848,0.113830458014621,0.377581768132698
1,0.7,1,"Planctomycetes_34_1",10.054844606947,0.0940376304557759,0.432019546018129,0.113830458014621,0.377581768132698
