"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Proteobacteria_7983_7",10.054844606947,0.148458990026608,0.753111793831975,0.157965011988505,0.754389876680816
0.1,0.1,1,"Proteobacteria_7983_7",10.054844606947,0.14843977653529,0.75318024103976,0.157965011988505,0.754389876680816
1,0.1,1,"Proteobacteria_7983_7",10.054844606947,0.148921516887347,0.751249304684074,0.157965011988505,0.754389876680816
3,0.1,1,"Proteobacteria_7983_7",10.054844606947,0.149040475333859,0.752080462164112,0.157965011988505,0.754389876680816
8,0.1,1,"Proteobacteria_7983_7",10.054844606947,0.14760537454968,0.766222486104901,0.157965011988505,0.754389876680816
0,0.3,1,"Proteobacteria_7983_7",10.054844606947,0.150009866435936,0.747367691593583,0.157965011988505,0.754389876680816
0.1,0.3,1,"Proteobacteria_7983_7",10.054844606947,0.149935671278965,0.747566230059635,0.157965011988505,0.754389876680816
1,0.3,1,"Proteobacteria_7983_7",10.054844606947,0.149482910893785,0.748990965508891,0.157965011988505,0.754389876680816
3,0.3,1,"Proteobacteria_7983_7",10.054844606947,0.149040475333859,0.752080462164112,0.157965011988505,0.754389876680816
8,0.3,1,"Proteobacteria_7983_7",10.054844606947,0.14760537454968,0.766222486104901,0.157965011988505,0.754389876680816
0,0.5,1,"Proteobacteria_7983_7",10.054844606947,0.150016038667634,0.747338428309618,0.157965011988505,0.754389876680816
0.1,0.5,1,"Proteobacteria_7983_7",10.054844606947,0.149939232667318,0.747550197531085,0.157965011988505,0.754389876680816
1,0.5,1,"Proteobacteria_7983_7",10.054844606947,0.149482910893785,0.748990965508891,0.157965011988505,0.754389876680816
3,0.5,1,"Proteobacteria_7983_7",10.054844606947,0.149040475333859,0.752080462164112,0.157965011988505,0.754389876680816
8,0.5,1,"Proteobacteria_7983_7",10.054844606947,0.14760537454968,0.766222486104901,0.157965011988505,0.754389876680816
0,0.7,1,"Proteobacteria_7983_7",10.054844606947,0.150016038667634,0.747338428309618,0.157965011988505,0.754389876680816
0.1,0.7,1,"Proteobacteria_7983_7",10.054844606947,0.149939232667318,0.747550197531085,0.157965011988505,0.754389876680816
1,0.7,1,"Proteobacteria_7983_7",10.054844606947,0.149482910893785,0.748990965508891,0.157965011988505,0.754389876680816
3,0.7,1,"Proteobacteria_7983_7",10.054844606947,0.149040475333859,0.752080462164112,0.157965011988505,0.754389876680816
8,0.7,1,"Proteobacteria_7983_7",10.054844606947,0.14760537454968,0.766222486104901,0.157965011988505,0.754389876680816
0,0.9,1,"Proteobacteria_7983_7",10.054844606947,0.150016038667634,0.747338428309618,0.157965011988505,0.754389876680816
0.1,0.9,1,"Proteobacteria_7983_7",10.054844606947,0.149939232667318,0.747550197531085,0.157965011988505,0.754389876680816
1,0.9,1,"Proteobacteria_7983_7",10.054844606947,0.149482910893785,0.748990965508891,0.157965011988505,0.754389876680816
3,0.9,1,"Proteobacteria_7983_7",10.054844606947,0.149040475333859,0.752080462164112,0.157965011988505,0.754389876680816
8,0.9,1,"Proteobacteria_7983_7",10.054844606947,0.14760537454968,0.766222486104901,0.157965011988505,0.754389876680816
0,0.1,0.178,"Proteobacteria_7983_7",10.054844606947,0.152735578731211,0.740298134429058,0.157965011988505,0.754389876680816
0.1,0.1,0.178,"Proteobacteria_7983_7",10.054844606947,0.151693730006315,0.743863756443253,0.157965011988505,0.754389876680816
1,0.1,0.178,"Proteobacteria_7983_7",10.054844606947,0.145259352783746,0.766479406330688,0.157965011988505,0.754389876680816
3,0.1,0.178,"Proteobacteria_7983_7",10.054844606947,0.142220574878761,0.778284194921603,0.157965011988505,0.754389876680816
8,0.1,0.178,"Proteobacteria_7983_7",10.054844606947,0.146692152987404,0.77097289449398,0.157965011988505,0.754389876680816
0,0.3,0.178,"Proteobacteria_7983_7",10.054844606947,0.148984383207578,0.751069847653404,0.157965011988505,0.754389876680816
0.1,0.3,0.178,"Proteobacteria_7983_7",10.054844606947,0.148599473562106,0.752518313120733,0.157965011988505,0.754389876680816
1,0.3,0.178,"Proteobacteria_7983_7",10.054844606947,0.14610445248548,0.76207273851075,0.157965011988505,0.754389876680816
3,0.3,0.178,"Proteobacteria_7983_7",10.054844606947,0.147390482498751,0.758791485117486,0.157965011988505,0.754389876680816
8,0.3,0.178,"Proteobacteria_7983_7",10.054844606947,0.14760537454968,0.766222486104901,0.157965011988505,0.754389876680816
0,0.5,0.178,"Proteobacteria_7983_7",10.054844606947,0.148126762284092,0.754247455704199,0.157965011988505,0.754389876680816
0.1,0.5,0.178,"Proteobacteria_7983_7",10.054844606947,0.147998273781281,0.754746589812337,0.157965011988505,0.754389876680816
1,0.5,0.178,"Proteobacteria_7983_7",10.054844606947,0.147792696554829,0.755637795143873,0.157965011988505,0.754389876680816
3,0.5,0.178,"Proteobacteria_7983_7",10.054844606947,0.149040475333859,0.752080462164112,0.157965011988505,0.754389876680816
8,0.5,0.178,"Proteobacteria_7983_7",10.054844606947,0.14760537454968,0.766222486104901,0.157965011988505,0.754389876680816
0,0.7,0.178,"Proteobacteria_7983_7",10.054844606947,0.148624557945947,0.752590480379203,0.157965011988505,0.754389876680816
0.1,0.7,0.178,"Proteobacteria_7983_7",10.054844606947,0.148622003992013,0.752584189046344,0.157965011988505,0.754389876680816
1,0.7,0.178,"Proteobacteria_7983_7",10.054844606947,0.149223747747491,0.750057479615213,0.157965011988505,0.754389876680816
