"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Pseudofungi_43_1",10.054844606947,0.136105593744997,0.395751439245062,0.172793542853053,0.290448053287252
0.1,0.1,1,"Pseudofungi_43_1",10.054844606947,0.135988122003318,0.395333109807331,0.172793542853053,0.290448053287252
1,0.1,1,"Pseudofungi_43_1",10.054844606947,0.136264665515366,0.374570863260779,0.172793542853053,0.290448053287252
3,0.1,1,"Pseudofungi_43_1",10.054844606947,0.137663518679295,0.334804809159125,0.172793542853053,0.290448053287252
8,0.1,1,"Pseudofungi_43_1",10.054844606947,0.136293147750769,0.373780838520358,0.172793542853053,0.290448053287252
0,0.3,1,"Pseudofungi_43_1",10.054844606947,0.140959621305631,0.316590304624662,0.172793542853053,0.290448053287252
0.1,0.3,1,"Pseudofungi_43_1",10.054844606947,0.140735598860149,0.315349516907269,0.172793542853053,0.290448053287252
1,0.3,1,"Pseudofungi_43_1",10.054844606947,0.139098805771455,0.320667172103257,0.172793542853053,0.290448053287252
3,0.3,1,"Pseudofungi_43_1",10.054844606947,0.137699132332393,0.334232453081195,0.172793542853053,0.290448053287252
8,0.3,1,"Pseudofungi_43_1",10.054844606947,0.136293147750769,0.373780838520358,0.172793542853053,0.290448053287252
0,0.5,1,"Pseudofungi_43_1",10.054844606947,0.141401520818921,0.308791663434886,0.172793542853053,0.290448053287252
0.1,0.5,1,"Pseudofungi_43_1",10.054844606947,0.141050779294365,0.310635033456814,0.172793542853053,0.290448053287252
1,0.5,1,"Pseudofungi_43_1",10.054844606947,0.139034999592086,0.321802094153361,0.172793542853053,0.290448053287252
3,0.5,1,"Pseudofungi_43_1",10.054844606947,0.137699132332393,0.334232453081195,0.172793542853053,0.290448053287252
8,0.5,1,"Pseudofungi_43_1",10.054844606947,0.136293147750769,0.373780838520358,0.172793542853053,0.290448053287252
0,0.7,1,"Pseudofungi_43_1",10.054844606947,0.141332776083137,0.310309871961501,0.172793542853053,0.290448053287252
0.1,0.7,1,"Pseudofungi_43_1",10.054844606947,0.140978686513499,0.311993625197282,0.172793542853053,0.290448053287252
1,0.7,1,"Pseudofungi_43_1",10.054844606947,0.139034999592086,0.321802094153361,0.172793542853053,0.290448053287252
3,0.7,1,"Pseudofungi_43_1",10.054844606947,0.137699132332393,0.334232453081195,0.172793542853053,0.290448053287252
8,0.7,1,"Pseudofungi_43_1",10.054844606947,0.136293147750769,0.373780838520358,0.172793542853053,0.290448053287252
0,0.9,1,"Pseudofungi_43_1",10.054844606947,0.141332776083137,0.310309871961501,0.172793542853053,0.290448053287252
0.1,0.9,1,"Pseudofungi_43_1",10.054844606947,0.140978686513499,0.311993625197282,0.172793542853053,0.290448053287252
1,0.9,1,"Pseudofungi_43_1",10.054844606947,0.139034999592086,0.321802094153361,0.172793542853053,0.290448053287252
3,0.9,1,"Pseudofungi_43_1",10.054844606947,0.137699132332393,0.334232453081195,0.172793542853053,0.290448053287252
8,0.9,1,"Pseudofungi_43_1",10.054844606947,0.136293147750769,0.373780838520358,0.172793542853053,0.290448053287252
0,0.1,0.178,"Pseudofungi_43_1",10.054844606947,0.148980707729733,0.35219030884664,0.172793542853053,0.290448053287252
0.1,0.1,0.178,"Pseudofungi_43_1",10.054844606947,0.147827803419255,0.355770408907825,0.172793542853053,0.290448053287252
1,0.1,0.178,"Pseudofungi_43_1",10.054844606947,0.139481515238303,0.388820055222293,0.172793542853053,0.290448053287252
3,0.1,0.178,"Pseudofungi_43_1",10.054844606947,0.13273296658684,0.423628485803563,0.172793542853053,0.290448053287252
8,0.1,0.178,"Pseudofungi_43_1",10.054844606947,0.137452652464372,0.364182445660838,0.172793542853053,0.290448053287252
0,0.3,0.178,"Pseudofungi_43_1",10.054844606947,0.139738755424002,0.37327980122789,0.172793542853053,0.290448053287252
0.1,0.3,0.178,"Pseudofungi_43_1",10.054844606947,0.139001953049779,0.37699553044288,0.172793542853053,0.290448053287252
1,0.3,0.178,"Pseudofungi_43_1",10.054844606947,0.134570395287729,0.401634475590233,0.172793542853053,0.290448053287252
3,0.3,0.178,"Pseudofungi_43_1",10.054844606947,0.135543730179008,0.372942397833791,0.172793542853053,0.290448053287252
8,0.3,0.178,"Pseudofungi_43_1",10.054844606947,0.136357377163051,0.373493616966763,0.172793542853053,0.290448053287252
0,0.5,0.178,"Pseudofungi_43_1",10.054844606947,0.137496966115524,0.380059212243867,0.172793542853053,0.290448053287252
0.1,0.5,0.178,"Pseudofungi_43_1",10.054844606947,0.13712504218106,0.381493110576947,0.172793542853053,0.290448053287252
1,0.5,0.178,"Pseudofungi_43_1",10.054844606947,0.135060752522181,0.392999332819045,0.172793542853053,0.290448053287252
3,0.5,0.178,"Pseudofungi_43_1",10.054844606947,0.137523720063575,0.336844976481433,0.172793542853053,0.290448053287252
8,0.5,0.178,"Pseudofungi_43_1",10.054844606947,0.136293147750769,0.373780838520358,0.172793542853053,0.290448053287252
0,0.7,0.178,"Pseudofungi_43_1",10.054844606947,0.137581658483065,0.375775318185694,0.172793542853053,0.290448053287252
0.1,0.7,0.178,"Pseudofungi_43_1",10.054844606947,0.137319082854861,0.37613085405091,0.172793542853053,0.290448053287252
1,0.7,0.178,"Pseudofungi_43_1",10.054844606947,0.136859029651362,0.364328192722473,0.172793542853053,0.290448053287252
3,0.7,0.178,"Pseudofungi_43_1",10.054844606947,0.137774094389773,0.333136480185638,0.172793542853053,0.290448053287252
8,0.7,0.178,"Pseudofungi_43_1",10.054844606947,0.136293147750769,0.373780838520358,0.172793542853053,0.290448053287252
0,0.9,0.178,"Pseudofungi_43_1",10.054844606947,0.13823637433509,0.365005459391009,0.172793542853053,0.290448053287252
0.1,0.9,0.178,"Pseudofungi_43_1",10.054844606947,0.138052063270807,0.364704651426147,0.172793542853053,0.290448053287252
1,0.9,0.178,"Pseudofungi_43_1",10.054844606947,0.137972270745382,0.342870585918121,0.172793542853053,0.290448053287252
3,0.9,0.178,"Pseudofungi_43_1",10.054844606947,0.137699132332393,0.334232453081195,0.172793542853053,0.290448053287252
8,0.9,0.178,"Pseudofungi_43_1",10.054844606947,0.136293147750769,0.373780838520358,0.172793542853053,0.290448053287252
0,0.1,0.032,"Pseudofungi_43_1",10.054844606947,0.192240024444838,0.297911886026712,0.172793542853053,0.290448053287252
0.1,0.1,0.032,"Pseudofungi_43_1",10.054844606947,0.190391220386995,0.30233583475832,0.172793542853053,0.290448053287252
1,0.1,0.032,"Pseudofungi_43_1",10.054844606947,0.174117460768186,0.339997568775925,0.172793542853053,0.290448053287252
3,0.1,0.032,"Pseudofungi_43_1",10.054844606947,0.152144211588945,0.374436228585048,0.172793542853053,0.290448053287252
8,0.1,0.032,"Pseudofungi_43_1",10.054844606947,0.138064318502715,0.393975789241724,0.172793542853053,0.290448053287252
0,0.3,0.032,"Pseudofungi_43_1",10.054844606947,0.173962771679799,0.306543669286991,0.172793542853053,0.290448053287252
0.1,0.3,0.032,"Pseudofungi_43_1",10.054844606947,0.172174233920132,0.310723456725188,0.172793542853053,0.290448053287252
1,0.3,0.032,"Pseudofungi_43_1",10.054844606947,0.159229246060962,0.344053517477635,0.172793542853053,0.290448053287252
3,0.3,0.032,"Pseudofungi_43_1",10.054844606947,0.143737930474308,0.377364018621335,0.172793542853053,0.290448053287252
8,0.3,0.032,"Pseudofungi_43_1",10.054844606947,0.138068408007558,0.36643866356316,0.172793542853053,0.290448053287252
0,0.5,0.032,"Pseudofungi_43_1",10.054844606947,0.164355180818659,0.318967779107687,0.172793542853053,0.290448053287252
0.1,0.5,0.032,"Pseudofungi_43_1",10.054844606947,0.162621130930847,0.32415227001047,0.172793542853053,0.290448053287252
1,0.5,0.032,"Pseudofungi_43_1",10.054844606947,0.150762772221984,0.35918029451021,0.172793542853053,0.290448053287252
3,0.5,0.032,"Pseudofungi_43_1",10.054844606947,0.137818512146797,0.395160287443009,0.172793542853053,0.290448053287252
8,0.5,0.032,"Pseudofungi_43_1",10.054844606947,0.139208060723046,0.349265274553561,0.172793542853053,0.290448053287252
0,0.7,0.032,"Pseudofungi_43_1",10.054844606947,0.156288001954368,0.338555403051952,0.172793542853053,0.290448053287252
