"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Radiolaria_104_1",10.054844606947,0.444051004903022,0.321113985195731,0.600495593505198,0.331782877084895
0.1,0.1,1,"Radiolaria_104_1",10.054844606947,0.444545930025689,0.317905271913357,0.600495593505198,0.331782877084895
1,0.1,1,"Radiolaria_104_1",10.054844606947,0.445530414355373,0.307738922485265,0.600495593505198,0.331782877084895
3,0.1,1,"Radiolaria_104_1",10.054844606947,0.442314667689376,0.322688598966987,0.600495593505198,0.331782877084895
8,0.1,1,"Radiolaria_104_1",10.054844606947,0.446421225111107,0.324086429685199,0.600495593505198,0.331782877084895
0,0.3,1,"Radiolaria_104_1",10.054844606947,0.447649051122076,0.297011292887266,0.600495593505198,0.331782877084895
0.1,0.3,1,"Radiolaria_104_1",10.054844606947,0.447317801640041,0.298373697313103,0.600495593505198,0.331782877084895
1,0.3,1,"Radiolaria_104_1",10.054844606947,0.445135901237307,0.307618630144741,0.600495593505198,0.331782877084895
3,0.3,1,"Radiolaria_104_1",10.054844606947,0.442327193979992,0.322598703295111,0.600495593505198,0.331782877084895
8,0.3,1,"Radiolaria_104_1",10.054844606947,0.446421225111107,0.324086429685199,0.600495593505198,0.331782877084895
0,0.5,1,"Radiolaria_104_1",10.054844606947,0.447607047113657,0.297255372089505,0.600495593505198,0.331782877084895
0.1,0.5,1,"Radiolaria_104_1",10.054844606947,0.447300241106163,0.298490346755494,0.600495593505198,0.331782877084895
1,0.5,1,"Radiolaria_104_1",10.054844606947,0.445135901237307,0.307618630144741,0.600495593505198,0.331782877084895
3,0.5,1,"Radiolaria_104_1",10.054844606947,0.442327193979992,0.322598703295111,0.600495593505198,0.331782877084895
8,0.5,1,"Radiolaria_104_1",10.054844606947,0.446421225111107,0.324086429685199,0.600495593505198,0.331782877084895
0,0.7,1,"Radiolaria_104_1",10.054844606947,0.447607047113657,0.297255372089505,0.600495593505198,0.331782877084895
0.1,0.7,1,"Radiolaria_104_1",10.054844606947,0.447300241106163,0.298490346755494,0.600495593505198,0.331782877084895
1,0.7,1,"Radiolaria_104_1",10.054844606947,0.445135901237307,0.307618630144741,0.600495593505198,0.331782877084895
3,0.7,1,"Radiolaria_104_1",10.054844606947,0.442327193979992,0.322598703295111,0.600495593505198,0.331782877084895
8,0.7,1,"Radiolaria_104_1",10.054844606947,0.446421225111107,0.324086429685199,0.600495593505198,0.331782877084895
0,0.9,1,"Radiolaria_104_1",10.054844606947,0.447607047113657,0.297255372089505,0.600495593505198,0.331782877084895
0.1,0.9,1,"Radiolaria_104_1",10.054844606947,0.447300241106163,0.298490346755494,0.600495593505198,0.331782877084895
1,0.9,1,"Radiolaria_104_1",10.054844606947,0.445135901237307,0.307618630144741,0.600495593505198,0.331782877084895
3,0.9,1,"Radiolaria_104_1",10.054844606947,0.442327193979992,0.322598703295111,0.600495593505198,0.331782877084895
8,0.9,1,"Radiolaria_104_1",10.054844606947,0.446421225111107,0.324086429685199,0.600495593505198,0.331782877084895
0,0.1,0.178,"Radiolaria_104_1",10.054844606947,0.483983547397411,0.280500001722145,0.600495593505198,0.331782877084895
0.1,0.1,0.178,"Radiolaria_104_1",10.054844606947,0.480103582844005,0.287951939687292,0.600495593505198,0.331782877084895
1,0.1,0.178,"Radiolaria_104_1",10.054844606947,0.459205256199266,0.327210315959679,0.600495593505198,0.331782877084895
3,0.1,0.178,"Radiolaria_104_1",10.054844606947,0.443422128063374,0.342443270693052,0.600495593505198,0.331782877084895
8,0.1,0.178,"Radiolaria_104_1",10.054844606947,0.447720315392361,0.320281861320995,0.600495593505198,0.331782877084895
0,0.3,0.178,"Radiolaria_104_1",10.054844606947,0.450767853558415,0.323072747678557,0.600495593505198,0.331782877084895
0.1,0.3,0.178,"Radiolaria_104_1",10.054844606947,0.450081328769565,0.323674171042771,0.600495593505198,0.331782877084895
1,0.3,0.178,"Radiolaria_104_1",10.054844606947,0.448431462704626,0.314409507140792,0.600495593505198,0.331782877084895
3,0.3,0.178,"Radiolaria_104_1",10.054844606947,0.443380697753993,0.321025109574259,0.600495593505198,0.331782877084895
8,0.3,0.178,"Radiolaria_104_1",10.054844606947,0.446421225111107,0.324086429685199,0.600495593505198,0.331782877084895
0,0.5,0.178,"Radiolaria_104_1",10.054844606947,0.448791121436989,0.310570899307878,0.600495593505198,0.331782877084895
0.1,0.5,0.178,"Radiolaria_104_1",10.054844606947,0.449190544974204,0.307510939623108,0.600495593505198,0.331782877084895
1,0.5,0.178,"Radiolaria_104_1",10.054844606947,0.448133535236749,0.301923585371849,0.600495593505198,0.331782877084895
3,0.5,0.178,"Radiolaria_104_1",10.054844606947,0.442371537524681,0.322618654179885,0.600495593505198,0.331782877084895
8,0.5,0.178,"Radiolaria_104_1",10.054844606947,0.446421225111107,0.324086429685199,0.600495593505198,0.331782877084895
0,0.7,0.178,"Radiolaria_104_1",10.054844606947,0.449333446863766,0.298122012700368,0.600495593505198,0.331782877084895
0.1,0.7,0.178,"Radiolaria_104_1",10.054844606947,0.449247057368048,0.29741874978273,0.600495593505198,0.331782877084895
1,0.7,0.178,"Radiolaria_104_1",10.054844606947,0.446952679693303,0.301499030310793,0.600495593505198,0.331782877084895
3,0.7,0.178,"Radiolaria_104_1",10.054844606947,0.442327193979992,0.322598703295111,0.600495593505198,0.331782877084895
8,0.7,0.178,"Radiolaria_104_1",10.054844606947,0.446421225111107,0.324086429685199,0.600495593505198,0.331782877084895
0,0.9,0.178,"Radiolaria_104_1",10.054844606947,0.449252672763155,0.293662053739957,0.600495593505198,0.331782877084895
0.1,0.9,0.178,"Radiolaria_104_1",10.054844606947,0.448948283719809,0.294405794793236,0.600495593505198,0.331782877084895
1,0.9,0.178,"Radiolaria_104_1",10.054844606947,0.445902075501049,0.304514244288617,0.600495593505198,0.331782877084895
3,0.9,0.178,"Radiolaria_104_1",10.054844606947,0.442327193979992,0.322598703295111,0.600495593505198,0.331782877084895
8,0.9,0.178,"Radiolaria_104_1",10.054844606947,0.446421225111107,0.324086429685199,0.600495593505198,0.331782877084895
0,0.1,0.032,"Radiolaria_104_1",10.054844606947,0.622120520339714,0.148530686345751,0.600495593505198,0.331782877084895
0.1,0.1,0.032,"Radiolaria_104_1",10.054844606947,0.614050439197646,0.156293465367168,0.600495593505198,0.331782877084895
1,0.1,0.032,"Radiolaria_104_1",10.054844606947,0.568094704829654,0.205352347328586,0.600495593505198,0.331782877084895
3,0.1,0.032,"Radiolaria_104_1",10.054844606947,0.510414548519475,0.27362988199368,0.600495593505198,0.331782877084895
8,0.1,0.032,"Radiolaria_104_1",10.054844606947,0.454193415225892,0.333227906975625,0.600495593505198,0.331782877084895
0,0.3,0.032,"Radiolaria_104_1",10.054844606947,0.568465415086162,0.181257823060654,0.600495593505198,0.331782877084895
0.1,0.3,0.032,"Radiolaria_104_1",10.054844606947,0.562777737864718,0.188097222684422,0.600495593505198,0.331782877084895
1,0.3,0.032,"Radiolaria_104_1",10.054844606947,0.520736604563764,0.244599358479276,0.600495593505198,0.331782877084895
3,0.3,0.032,"Radiolaria_104_1",10.054844606947,0.472412506024816,0.30569182145044,0.600495593505198,0.331782877084895
8,0.3,0.032,"Radiolaria_104_1",10.054844606947,0.449245734725154,0.321533090214805,0.600495593505198,0.331782877084895
0,0.5,0.032,"Radiolaria_104_1",10.054844606947,0.534171491946225,0.213858051240755,0.600495593505198,0.331782877084895
0.1,0.5,0.032,"Radiolaria_104_1",10.054844606947,0.527865053127461,0.22323242888962,0.600495593505198,0.331782877084895
1,0.5,0.032,"Radiolaria_104_1",10.054844606947,0.49355066235233,0.269415202771193,0.600495593505198,0.331782877084895
3,0.5,0.032,"Radiolaria_104_1",10.054844606947,0.460003434481135,0.311161795601698,0.600495593505198,0.331782877084895
8,0.5,0.032,"Radiolaria_104_1",10.054844606947,0.448754961523956,0.317703043758153,0.600495593505198,0.331782877084895
0,0.7,0.032,"Radiolaria_104_1",10.054844606947,0.507015835271802,0.243816773216246,0.600495593505198,0.331782877084895
0.1,0.7,0.032,"Radiolaria_104_1",10.054844606947,0.502745349581384,0.249681985269407,0.600495593505198,0.331782877084895
1,0.7,0.032,"Radiolaria_104_1",10.054844606947,0.477762320117297,0.287641914992746,0.600495593505198,0.331782877084895
3,0.7,0.032,"Radiolaria_104_1",10.054844606947,0.456441360269047,0.308510561198159,0.600495593505198,0.331782877084895
8,0.7,0.032,"Radiolaria_104_1",10.054844606947,0.447419589572309,0.321241618825402,0.600495593505198,0.331782877084895
0,0.9,0.032,"Radiolaria_104_1",10.054844606947,0.490854901888657,0.262085768650988,0.600495593505198,0.331782877084895
0.1,0.9,0.032,"Radiolaria_104_1",10.054844606947,0.487460774424659,0.267926242495552,0.600495593505198,0.331782877084895
1,0.9,0.032,"Radiolaria_104_1",10.054844606947,0.466835563860012,0.301445295411198,0.600495593505198,0.331782877084895
3,0.9,0.032,"Radiolaria_104_1",10.054844606947,0.454120724239426,0.304649538815799,0.600495593505198,0.331782877084895
8,0.9,0.032,"Radiolaria_104_1",10.054844606947,0.446865791762184,0.322900583892657,0.600495593505198,0.331782877084895
0,0.1,0.006,"Radiolaria_104_1",10.054844606947,0.822648927667445,0.039216225100006,0.600495593505198,0.331782877084895
0.1,0.1,0.006,"Radiolaria_104_1",10.054844606947,0.814076452024567,0.0414872581711801,0.600495593505198,0.331782877084895
1,0.1,0.006,"Radiolaria_104_1",10.054844606947,0.756779493781259,0.0776584927575389,0.600495593505198,0.331782877084895
3,0.1,0.006,"Radiolaria_104_1",10.054844606947,0.643857444377531,0.158798339204555,0.600495593505198,0.331782877084895
8,0.1,0.006,"Radiolaria_104_1",10.054844606947,0.49381990846632,0.310852020672421,0.600495593505198,0.331782877084895
0,0.3,0.006,"Radiolaria_104_1",10.054844606947,0.770650359400715,0.0578972978310912,0.600495593505198,0.331782877084895
0.1,0.3,0.006,"Radiolaria_104_1",10.054844606947,0.760376668281284,0.0652147075829907,0.600495593505198,0.331782877084895
1,0.3,0.006,"Radiolaria_104_1",10.054844606947,0.685413005987256,0.123000215711447,0.600495593505198,0.331782877084895
3,0.3,0.006,"Radiolaria_104_1",10.054844606947,0.592790266152084,0.195438644077808,0.600495593505198,0.331782877084895
8,0.3,0.006,"Radiolaria_104_1",10.054844606947,0.476755707204488,0.310275103779052,0.600495593505198,0.331782877084895
0,0.5,0.006,"Radiolaria_104_1",10.054844606947,0.718306444729172,0.0891353262694406,0.600495593505198,0.331782877084895
0.1,0.5,0.006,"Radiolaria_104_1",10.054844606947,0.708130429972031,0.0972652619210358,0.600495593505198,0.331782877084895
1,0.5,0.006,"Radiolaria_104_1",10.054844606947,0.629560212389936,0.164561852627875,0.600495593505198,0.331782877084895
3,0.5,0.006,"Radiolaria_104_1",10.054844606947,0.563479917484958,0.21775847760953,0.600495593505198,0.331782877084895
8,0.5,0.006,"Radiolaria_104_1",10.054844606947,0.474174533310939,0.300265017807097,0.600495593505198,0.331782877084895
0,0.7,0.006,"Radiolaria_104_1",10.054844606947,0.676011983818792,0.111885951973064,0.600495593505198,0.331782877084895
0.1,0.7,0.006,"Radiolaria_104_1",10.054844606947,0.665431692740805,0.120806621770419,0.600495593505198,0.331782877084895
1,0.7,0.006,"Radiolaria_104_1",10.054844606947,0.605738483686889,0.177546123980832,0.600495593505198,0.331782877084895
3,0.7,0.006,"Radiolaria_104_1",10.054844606947,0.544346276067501,0.230639886443275,0.600495593505198,0.331782877084895
8,0.7,0.006,"Radiolaria_104_1",10.054844606947,0.469928999988319,0.299124847311551,0.600495593505198,0.331782877084895
0,0.9,0.006,"Radiolaria_104_1",10.054844606947,0.643478101291663,0.133550043425057,0.600495593505198,0.331782877084895
0.1,0.9,0.006,"Radiolaria_104_1",10.054844606947,0.635628827859574,0.141032109498429,0.600495593505198,0.331782877084895
1,0.9,0.006,"Radiolaria_104_1",10.054844606947,0.590047510547112,0.185347757971487,0.600495593505198,0.331782877084895
3,0.9,0.006,"Radiolaria_104_1",10.054844606947,0.52862437778258,0.241333322127738,0.600495593505198,0.331782877084895
8,0.9,0.006,"Radiolaria_104_1",10.054844606947,0.465930241103702,0.300210511619689,0.600495593505198,0.331782877084895
0,0.1,0.001,"Radiolaria_104_1",10.054844606947,1.00999508212446,-0.00725122702768262,0.600495593505198,0.331782877084895
0.1,0.1,0.001,"Radiolaria_104_1",10.054844606947,1.00511743135661,-0.00591342754832482,0.600495593505198,0.331782877084895
1,0.1,0.001,"Radiolaria_104_1",10.054844606947,0.958559482229071,0.00896607576253271,0.600495593505198,0.331782877084895
3,0.1,0.001,"Radiolaria_104_1",10.054844606947,0.856607098813106,0.0432673811440448,0.600495593505198,0.331782877084895
8,0.1,0.001,"Radiolaria_104_1",10.054844606947,0.599161358733826,0.216488326578121,0.600495593505198,0.331782877084895
0,0.3,0.001,"Radiolaria_104_1",10.054844606947,0.976387779556711,-0.00279250156412038,0.600495593505198,0.331782877084895
0.1,0.3,0.001,"Radiolaria_104_1",10.054844606947,0.968382364655297,-0.00249176549646792,0.600495593505198,0.331782877084895
1,0.3,0.001,"Radiolaria_104_1",10.054844606947,0.915522412721115,0.0184975527466262,0.600495593505198,0.331782877084895
3,0.3,0.001,"Radiolaria_104_1",10.054844606947,0.807780029388963,0.0587429661688708,0.600495593505198,0.331782877084895
8,0.3,0.001,"Radiolaria_104_1",10.054844606947,0.560960343973407,0.244990669581043,0.600495593505198,0.331782877084895
0,0.5,0.001,"Radiolaria_104_1",10.054844606947,0.945595355145608,-0.00108280033080269,0.600495593505198,0.331782877084895
