"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Raphidophyceae_3_1",10.054844606947,0.304053676476638,0.467011399354714,0.378172177245405,0.493547770738143
0.1,0.1,1,"Raphidophyceae_3_1",10.054844606947,0.303173265707255,0.469725048501393,0.378172177245405,0.493547770738143
1,0.1,1,"Raphidophyceae_3_1",10.054844606947,0.301536307001294,0.469950922539327,0.378172177245405,0.493547770738143
3,0.1,1,"Raphidophyceae_3_1",10.054844606947,0.308425150275622,0.438599835883152,0.378172177245405,0.493547770738143
8,0.1,1,"Raphidophyceae_3_1",10.054844606947,0.318158570546301,0.403781952528139,0.378172177245405,0.493547770738143
0,0.3,1,"Raphidophyceae_3_1",10.054844606947,0.307783755227224,0.463185006686482,0.378172177245405,0.493547770738143
0.1,0.3,1,"Raphidophyceae_3_1",10.054844606947,0.306989690612406,0.46393654494715,0.378172177245405,0.493547770738143
1,0.3,1,"Raphidophyceae_3_1",10.054844606947,0.3059858467234,0.457694658995456,0.378172177245405,0.493547770738143
3,0.3,1,"Raphidophyceae_3_1",10.054844606947,0.308645749153373,0.437687499877126,0.378172177245405,0.493547770738143
8,0.3,1,"Raphidophyceae_3_1",10.054844606947,0.318158570546301,0.403781952528139,0.378172177245405,0.493547770738143
0,0.5,1,"Raphidophyceae_3_1",10.054844606947,0.307927062416509,0.467035801707666,0.378172177245405,0.493547770738143
0.1,0.5,1,"Raphidophyceae_3_1",10.054844606947,0.307404752907823,0.467157749085036,0.378172177245405,0.493547770738143
1,0.5,1,"Raphidophyceae_3_1",10.054844606947,0.30537155445134,0.461378546675801,0.378172177245405,0.493547770738143
3,0.5,1,"Raphidophyceae_3_1",10.054844606947,0.308645749153373,0.437687499877126,0.378172177245405,0.493547770738143
8,0.5,1,"Raphidophyceae_3_1",10.054844606947,0.318158570546301,0.403781952528139,0.378172177245405,0.493547770738143
0,0.7,1,"Raphidophyceae_3_1",10.054844606947,0.307830660707076,0.469737252893887,0.378172177245405,0.493547770738143
0.1,0.7,1,"Raphidophyceae_3_1",10.054844606947,0.307181365095976,0.46942218016701,0.378172177245405,0.493547770738143
1,0.7,1,"Raphidophyceae_3_1",10.054844606947,0.30537155445134,0.461378546675801,0.378172177245405,0.493547770738143
3,0.7,1,"Raphidophyceae_3_1",10.054844606947,0.308645749153373,0.437687499877126,0.378172177245405,0.493547770738143
8,0.7,1,"Raphidophyceae_3_1",10.054844606947,0.318158570546301,0.403781952528139,0.378172177245405,0.493547770738143
0,0.9,1,"Raphidophyceae_3_1",10.054844606947,0.307830660707076,0.469737252893887,0.378172177245405,0.493547770738143
0.1,0.9,1,"Raphidophyceae_3_1",10.054844606947,0.307181365095976,0.46942218016701,0.378172177245405,0.493547770738143
1,0.9,1,"Raphidophyceae_3_1",10.054844606947,0.30537155445134,0.461378546675801,0.378172177245405,0.493547770738143
3,0.9,1,"Raphidophyceae_3_1",10.054844606947,0.308645749153373,0.437687499877126,0.378172177245405,0.493547770738143
8,0.9,1,"Raphidophyceae_3_1",10.054844606947,0.318158570546301,0.403781952528139,0.378172177245405,0.493547770738143
0,0.1,0.178,"Raphidophyceae_3_1",10.054844606947,0.36822599553419,0.258284131693607,0.378172177245405,0.493547770738143
0.1,0.1,0.178,"Raphidophyceae_3_1",10.054844606947,0.364187818244555,0.266337749539514,0.378172177245405,0.493547770738143
1,0.1,0.178,"Raphidophyceae_3_1",10.054844606947,0.332761115656264,0.345569511727652,0.378172177245405,0.493547770738143
3,0.1,0.178,"Raphidophyceae_3_1",10.054844606947,0.300081246901503,0.470567194697877,0.378172177245405,0.493547770738143
8,0.1,0.178,"Raphidophyceae_3_1",10.054844606947,0.314509045786639,0.415913320804198,0.378172177245405,0.493547770738143
0,0.3,0.178,"Raphidophyceae_3_1",10.054844606947,0.324424445541306,0.378048455522293,0.378172177245405,0.493547770738143
0.1,0.3,0.178,"Raphidophyceae_3_1",10.054844606947,0.321795747567629,0.386412892283826,0.378172177245405,0.493547770738143
1,0.3,0.178,"Raphidophyceae_3_1",10.054844606947,0.30743236985166,0.435471134573601,0.378172177245405,0.493547770738143
3,0.3,0.178,"Raphidophyceae_3_1",10.054844606947,0.303152736518053,0.456034771313872,0.378172177245405,0.493547770738143
8,0.3,0.178,"Raphidophyceae_3_1",10.054844606947,0.318134642654628,0.40381613324997,0.378172177245405,0.493547770738143
0,0.5,0.178,"Raphidophyceae_3_1",10.054844606947,0.313409434388657,0.418109107931989,0.378172177245405,0.493547770738143
0.1,0.5,0.178,"Raphidophyceae_3_1",10.054844606947,0.311800019809337,0.423815677679941,0.378172177245405,0.493547770738143
1,0.5,0.178,"Raphidophyceae_3_1",10.054844606947,0.304196218699252,0.453708342098211,0.378172177245405,0.493547770738143
3,0.5,0.178,"Raphidophyceae_3_1",10.054844606947,0.308023792765063,0.437723849337396,0.378172177245405,0.493547770738143
8,0.5,0.178,"Raphidophyceae_3_1",10.054844606947,0.318158570546301,0.403781952528139,0.378172177245405,0.493547770738143
0,0.7,0.178,"Raphidophyceae_3_1",10.054844606947,0.311858484370291,0.429256321550496,0.378172177245405,0.493547770738143
0.1,0.7,0.178,"Raphidophyceae_3_1",10.054844606947,0.310979528363795,0.432144887763388,0.378172177245405,0.493547770738143
1,0.7,0.178,"Raphidophyceae_3_1",10.054844606947,0.305412306877994,0.450741022009899,0.378172177245405,0.493547770738143
3,0.7,0.178,"Raphidophyceae_3_1",10.054844606947,0.309067406173849,0.435179763132901,0.378172177245405,0.493547770738143
8,0.7,0.178,"Raphidophyceae_3_1",10.054844606947,0.318158570546301,0.403781952528139,0.378172177245405,0.493547770738143
0,0.9,0.178,"Raphidophyceae_3_1",10.054844606947,0.31295261649645,0.430834602586999,0.378172177245405,0.493547770738143
0.1,0.9,0.178,"Raphidophyceae_3_1",10.054844606947,0.311723184753177,0.435108962400545,0.378172177245405,0.493547770738143
1,0.9,0.178,"Raphidophyceae_3_1",10.054844606947,0.305651181344894,0.450921011287361,0.378172177245405,0.493547770738143
3,0.9,0.178,"Raphidophyceae_3_1",10.054844606947,0.308395007310824,0.438908352481853,0.378172177245405,0.493547770738143
8,0.9,0.178,"Raphidophyceae_3_1",10.054844606947,0.318158570546301,0.403781952528139,0.378172177245405,0.493547770738143
0,0.1,0.032,"Raphidophyceae_3_1",10.054844606947,0.522286971522523,0.129478584325974,0.378172177245405,0.493547770738143
0.1,0.1,0.032,"Raphidophyceae_3_1",10.054844606947,0.512643294580385,0.131569094478504,0.378172177245405,0.493547770738143
1,0.1,0.032,"Raphidophyceae_3_1",10.054844606947,0.438270168142151,0.16990388591303,0.378172177245405,0.493547770738143
3,0.1,0.032,"Raphidophyceae_3_1",10.054844606947,0.3622653099765,0.280534130408658,0.378172177245405,0.493547770738143
8,0.1,0.032,"Raphidophyceae_3_1",10.054844606947,0.29363323410326,0.505500750780723,0.378172177245405,0.493547770738143
0,0.3,0.032,"Raphidophyceae_3_1",10.054844606947,0.450151517502799,0.159176049579239,0.378172177245405,0.493547770738143
0.1,0.3,0.032,"Raphidophyceae_3_1",10.054844606947,0.444216159682819,0.162721607960943,0.378172177245405,0.493547770738143
1,0.3,0.032,"Raphidophyceae_3_1",10.054844606947,0.399259522665693,0.207567808388676,0.378172177245405,0.493547770738143
3,0.3,0.032,"Raphidophyceae_3_1",10.054844606947,0.332791959043318,0.348895467576786,0.378172177245405,0.493547770738143
8,0.3,0.032,"Raphidophyceae_3_1",10.054844606947,0.305729130619854,0.450907540083443,0.378172177245405,0.493547770738143
0,0.5,0.032,"Raphidophyceae_3_1",10.054844606947,0.42329858220843,0.175360798161834,0.378172177245405,0.493547770738143
0.1,0.5,0.032,"Raphidophyceae_3_1",10.054844606947,0.418189875226481,0.178827456592533,0.378172177245405,0.493547770738143
1,0.5,0.032,"Raphidophyceae_3_1",10.054844606947,0.37449554553826,0.247205968993089,0.378172177245405,0.493547770738143
3,0.5,0.032,"Raphidophyceae_3_1",10.054844606947,0.317870931897137,0.389568042378192,0.378172177245405,0.493547770738143
8,0.5,0.032,"Raphidophyceae_3_1",10.054844606947,0.311723670206182,0.427372948647427,0.378172177245405,0.493547770738143
0,0.7,0.032,"Raphidophyceae_3_1",10.054844606947,0.399918611486902,0.204403922836972,0.378172177245405,0.493547770738143
0.1,0.7,0.032,"Raphidophyceae_3_1",10.054844606947,0.394535617782465,0.213009539951054,0.378172177245405,0.493547770738143
1,0.7,0.032,"Raphidophyceae_3_1",10.054844606947,0.354210653094887,0.293452551485324,0.378172177245405,0.493547770738143
3,0.7,0.032,"Raphidophyceae_3_1",10.054844606947,0.31018547165994,0.418465362099292,0.378172177245405,0.493547770738143
8,0.7,0.032,"Raphidophyceae_3_1",10.054844606947,0.316304321060396,0.410232048892003,0.378172177245405,0.493547770738143
0,0.9,0.032,"Raphidophyceae_3_1",10.054844606947,0.380040019955554,0.239763732177241,0.378172177245405,0.493547770738143
0.1,0.9,0.032,"Raphidophyceae_3_1",10.054844606947,0.375249118646549,0.248533033600372,0.378172177245405,0.493547770738143
1,0.9,0.032,"Raphidophyceae_3_1",10.054844606947,0.342188161337162,0.320028636365241,0.378172177245405,0.493547770738143
3,0.9,0.032,"Raphidophyceae_3_1",10.054844606947,0.304861627649317,0.444469502324894,0.378172177245405,0.493547770738143
8,0.9,0.032,"Raphidophyceae_3_1",10.054844606947,0.317657989727695,0.404903418601119,0.378172177245405,0.493547770738143
0,0.1,0.006,"Raphidophyceae_3_1",10.054844606947,0.695112346989885,0.122892122352975,0.378172177245405,0.493547770738143
0.1,0.1,0.006,"Raphidophyceae_3_1",10.054844606947,0.677827699891733,0.128166780197341,0.378172177245405,0.493547770738143
1,0.1,0.006,"Raphidophyceae_3_1",10.054844606947,0.596644249850195,0.124950068451106,0.378172177245405,0.493547770738143
3,0.1,0.006,"Raphidophyceae_3_1",10.054844606947,0.467094743474745,0.151124972747061,0.378172177245405,0.493547770738143
8,0.1,0.006,"Raphidophyceae_3_1",10.054844606947,0.318884779526455,0.417893370323118,0.378172177245405,0.493547770738143
0,0.3,0.006,"Raphidophyceae_3_1",10.054844606947,0.642397220128185,0.115513915289659,0.378172177245405,0.493547770738143
0.1,0.3,0.006,"Raphidophyceae_3_1",10.054844606947,0.627517800645399,0.114800766354338,0.378172177245405,0.493547770738143
1,0.3,0.006,"Raphidophyceae_3_1",10.054844606947,0.551733724678659,0.117607382419283,0.378172177245405,0.493547770738143
3,0.3,0.006,"Raphidophyceae_3_1",10.054844606947,0.432216996017884,0.170700618213672,0.378172177245405,0.493547770738143
8,0.3,0.006,"Raphidophyceae_3_1",10.054844606947,0.304339193120593,0.463442723048972,0.378172177245405,0.493547770738143
0,0.5,0.006,"Raphidophyceae_3_1",10.054844606947,0.602611724619145,0.116734172122523,0.378172177245405,0.493547770738143
0.1,0.5,0.006,"Raphidophyceae_3_1",10.054844606947,0.590824698303776,0.119649184241429,0.378172177245405,0.493547770738143
1,0.5,0.006,"Raphidophyceae_3_1",10.054844606947,0.505558669766619,0.126045380582921,0.378172177245405,0.493547770738143
3,0.5,0.006,"Raphidophyceae_3_1",10.054844606947,0.410904200929234,0.203337728602313,0.378172177245405,0.493547770738143
8,0.5,0.006,"Raphidophyceae_3_1",10.054844606947,0.301331692297453,0.473052804731664,0.378172177245405,0.493547770738143
0,0.7,0.006,"Raphidophyceae_3_1",10.054844606947,0.566735538988097,0.119336966483823,0.378172177245405,0.493547770738143
0.1,0.7,0.006,"Raphidophyceae_3_1",10.054844606947,0.557567409203391,0.120775458510814,0.378172177245405,0.493547770738143
1,0.7,0.006,"Raphidophyceae_3_1",10.054844606947,0.486524757110175,0.135510905348319,0.378172177245405,0.493547770738143
3,0.7,0.006,"Raphidophyceae_3_1",10.054844606947,0.398347578611212,0.217576026425139,0.378172177245405,0.493547770738143
8,0.7,0.006,"Raphidophyceae_3_1",10.054844606947,0.2998011978032,0.478856681430022,0.378172177245405,0.493547770738143
0,0.9,0.006,"Raphidophyceae_3_1",10.054844606947,0.537182570284381,0.124633964513614,0.378172177245405,0.493547770738143
0.1,0.9,0.006,"Raphidophyceae_3_1",10.054844606947,0.527610751548795,0.128102784397648,0.378172177245405,0.493547770738143
1,0.9,0.006,"Raphidophyceae_3_1",10.054844606947,0.472231613747761,0.147176367107816,0.378172177245405,0.493547770738143
3,0.9,0.006,"Raphidophyceae_3_1",10.054844606947,0.386393420354311,0.235598084067039,0.378172177245405,0.493547770738143
8,0.9,0.006,"Raphidophyceae_3_1",10.054844606947,0.303207820380831,0.46468165424736,0.378172177245405,0.493547770738143
0,0.1,0.001,"Raphidophyceae_3_1",10.054844606947,0.906521776575963,0.132589358395328,0.378172177245405,0.493547770738143
0.1,0.1,0.001,"Raphidophyceae_3_1",10.054844606947,0.88631944230905,0.134225252814216,0.378172177245405,0.493547770738143
1,0.1,0.001,"Raphidophyceae_3_1",10.054844606947,0.762798914240232,0.146315123008472,0.378172177245405,0.493547770738143
3,0.1,0.001,"Raphidophyceae_3_1",10.054844606947,0.593683956700097,0.160119349249691,0.378172177245405,0.493547770738143
8,0.1,0.001,"Raphidophyceae_3_1",10.054844606947,0.39902507202277,0.255395822063861,0.378172177245405,0.493547770738143
0,0.3,0.001,"Raphidophyceae_3_1",10.054844606947,0.8540942629228,0.129968897033006,0.378172177245405,0.493547770738143
0.1,0.3,0.001,"Raphidophyceae_3_1",10.054844606947,0.778806826302836,0.128002806774918,0.378172177245405,0.493547770738143
1,0.3,0.001,"Raphidophyceae_3_1",10.054844606947,0.704694649179837,0.142776349303285,0.378172177245405,0.493547770738143
3,0.3,0.001,"Raphidophyceae_3_1",10.054844606947,0.567489553243971,0.114453124078141,0.378172177245405,0.493547770738143
8,0.3,0.001,"Raphidophyceae_3_1",10.054844606947,0.374919479901145,0.301323578478649,0.378172177245405,0.493547770738143
