"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Rhodophyta_506_1",10.054844606947,0.210344273737878,0.318368326323427,0.170008188040854,0.519555520855739
0.1,0.1,1,"Rhodophyta_506_1",10.054844606947,0.206334206249504,0.321685526461924,0.170008188040854,0.519555520855739
1,0.1,1,"Rhodophyta_506_1",10.054844606947,0.174879267048875,0.371388724741185,0.170008188040854,0.519555520855739
3,0.1,1,"Rhodophyta_506_1",10.054844606947,0.146017521850941,0.484174902166746,0.170008188040854,0.519555520855739
8,0.1,1,"Rhodophyta_506_1",10.054844606947,0.152670324318919,0.420260558465017,0.170008188040854,0.519555520855739
0,0.3,1,"Rhodophyta_506_1",10.054844606947,0.19508176784971,0.326651059264172,0.170008188040854,0.519555520855739
0.1,0.3,1,"Rhodophyta_506_1",10.054844606947,0.189983946838003,0.335157374430763,0.170008188040854,0.519555520855739
1,0.3,1,"Rhodophyta_506_1",10.054844606947,0.156622996815111,0.433882260980719,0.170008188040854,0.519555520855739
3,0.3,1,"Rhodophyta_506_1",10.054844606947,0.145988807337583,0.482285260775195,0.170008188040854,0.519555520855739
8,0.3,1,"Rhodophyta_506_1",10.054844606947,0.152671316098599,0.42024715147507,0.170008188040854,0.519555520855739
0,0.5,1,"Rhodophyta_506_1",10.054844606947,0.182430392068872,0.356807641640015,0.170008188040854,0.519555520855739
0.1,0.5,1,"Rhodophyta_506_1",10.054844606947,0.177034022393563,0.370646768295519,0.170008188040854,0.519555520855739
1,0.5,1,"Rhodophyta_506_1",10.054844606947,0.1449586016679,0.510465568756265,0.170008188040854,0.519555520855739
3,0.5,1,"Rhodophyta_506_1",10.054844606947,0.145984768750904,0.482337235351714,0.170008188040854,0.519555520855739
8,0.5,1,"Rhodophyta_506_1",10.054844606947,0.152671316098599,0.42024715147507,0.170008188040854,0.519555520855739
0,0.7,1,"Rhodophyta_506_1",10.054844606947,0.161395802493505,0.440970333491722,0.170008188040854,0.519555520855739
0.1,0.7,1,"Rhodophyta_506_1",10.054844606947,0.15586585690227,0.467880255623291,0.170008188040854,0.519555520855739
1,0.7,1,"Rhodophyta_506_1",10.054844606947,0.145002321612907,0.511544757161505,0.170008188040854,0.519555520855739
3,0.7,1,"Rhodophyta_506_1",10.054844606947,0.145984768750904,0.482337235351714,0.170008188040854,0.519555520855739
8,0.7,1,"Rhodophyta_506_1",10.054844606947,0.152671316098599,0.42024715147507,0.170008188040854,0.519555520855739
0,0.9,1,"Rhodophyta_506_1",10.054844606947,0.150363103869461,0.510796121771491,0.170008188040854,0.519555520855739
0.1,0.9,1,"Rhodophyta_506_1",10.054844606947,0.149378735967054,0.512280696298282,0.170008188040854,0.519555520855739
1,0.9,1,"Rhodophyta_506_1",10.054844606947,0.145018175206816,0.511559278851589,0.170008188040854,0.519555520855739
3,0.9,1,"Rhodophyta_506_1",10.054844606947,0.145984768750904,0.482337235351714,0.170008188040854,0.519555520855739
8,0.9,1,"Rhodophyta_506_1",10.054844606947,0.152671316098599,0.42024715147507,0.170008188040854,0.519555520855739
0,0.1,0.178,"Rhodophyta_506_1",10.054844606947,0.297749914979347,0.283680494755841,0.170008188040854,0.519555520855739
0.1,0.1,0.178,"Rhodophyta_506_1",10.054844606947,0.292680871735922,0.284586557132427,0.170008188040854,0.519555520855739
1,0.1,0.178,"Rhodophyta_506_1",10.054844606947,0.260153604871781,0.292434331413288,0.170008188040854,0.519555520855739
3,0.1,0.178,"Rhodophyta_506_1",10.054844606947,0.191612793959972,0.370632269051485,0.170008188040854,0.519555520855739
8,0.1,0.178,"Rhodophyta_506_1",10.054844606947,0.154913665107271,0.419081550288659,0.170008188040854,0.519555520855739
0,0.3,0.178,"Rhodophyta_506_1",10.054844606947,0.309266858903464,0.244549613877996,0.170008188040854,0.519555520855739
0.1,0.3,0.178,"Rhodophyta_506_1",10.054844606947,0.305009075985316,0.244253557652817,0.170008188040854,0.519555520855739
