"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Sagenista_61_1",10.054844606947,0.108667439487827,0.4346422161614,0.134534378870821,0.37789991131845
0.1,0.1,1,"Sagenista_61_1",10.054844606947,0.108697848620206,0.433497850631914,0.134534378870821,0.37789991131845
1,0.1,1,"Sagenista_61_1",10.054844606947,0.109412547197279,0.419533525552502,0.134534378870821,0.37789991131845
3,0.1,1,"Sagenista_61_1",10.054844606947,0.109366626358218,0.4208137991417,0.134534378870821,0.37789991131845
8,0.1,1,"Sagenista_61_1",10.054844606947,0.107901361504382,0.458936280585738,0.134534378870821,0.37789991131845
0,0.3,1,"Sagenista_61_1",10.054844606947,0.112185037406341,0.377096714623314,0.134534378870821,0.37789991131845
0.1,0.3,1,"Sagenista_61_1",10.054844606947,0.112015011092731,0.379155135189391,0.134534378870821,0.37789991131845
1,0.3,1,"Sagenista_61_1",10.054844606947,0.110790858271539,0.396574900939012,0.134534378870821,0.37789991131845
3,0.3,1,"Sagenista_61_1",10.054844606947,0.109304491535779,0.421221230324352,0.134534378870821,0.37789991131845
8,0.3,1,"Sagenista_61_1",10.054844606947,0.107901361504382,0.458936280585738,0.134534378870821,0.37789991131845
0,0.5,1,"Sagenista_61_1",10.054844606947,0.112225513153835,0.37605653007365,0.134534378870821,0.37789991131845
0.1,0.5,1,"Sagenista_61_1",10.054844606947,0.112033154241045,0.378692214193336,0.134534378870821,0.37789991131845
1,0.5,1,"Sagenista_61_1",10.054844606947,0.110790858271539,0.396574900939012,0.134534378870821,0.37789991131845
3,0.5,1,"Sagenista_61_1",10.054844606947,0.109304491535779,0.421221230324352,0.134534378870821,0.37789991131845
8,0.5,1,"Sagenista_61_1",10.054844606947,0.107901361504382,0.458936280585738,0.134534378870821,0.37789991131845
0,0.7,1,"Sagenista_61_1",10.054844606947,0.112225513153835,0.37605653007365,0.134534378870821,0.37789991131845
0.1,0.7,1,"Sagenista_61_1",10.054844606947,0.112033154241045,0.378692214193336,0.134534378870821,0.37789991131845
1,0.7,1,"Sagenista_61_1",10.054844606947,0.110790858271539,0.396574900939012,0.134534378870821,0.37789991131845
3,0.7,1,"Sagenista_61_1",10.054844606947,0.109304491535779,0.421221230324352,0.134534378870821,0.37789991131845
8,0.7,1,"Sagenista_61_1",10.054844606947,0.107901361504382,0.458936280585738,0.134534378870821,0.37789991131845
0,0.9,1,"Sagenista_61_1",10.054844606947,0.112225513153835,0.37605653007365,0.134534378870821,0.37789991131845
0.1,0.9,1,"Sagenista_61_1",10.054844606947,0.112033154241045,0.378692214193336,0.134534378870821,0.37789991131845
1,0.9,1,"Sagenista_61_1",10.054844606947,0.110790858271539,0.396574900939012,0.134534378870821,0.37789991131845
3,0.9,1,"Sagenista_61_1",10.054844606947,0.109304491535779,0.421221230324352,0.134534378870821,0.37789991131845
8,0.9,1,"Sagenista_61_1",10.054844606947,0.107901361504382,0.458936280585738,0.134534378870821,0.37789991131845
0,0.1,0.178,"Sagenista_61_1",10.054844606947,0.123273058792629,0.374162645401685,0.134534378870821,0.37789991131845
0.1,0.1,0.178,"Sagenista_61_1",10.054844606947,0.122038096042544,0.380334310542885,0.134534378870821,0.37789991131845
1,0.1,0.178,"Sagenista_61_1",10.054844606947,0.113546637283619,0.428215226233388,0.134534378870821,0.37789991131845
3,0.1,0.178,"Sagenista_61_1",10.054844606947,0.108204552203298,0.464575736483129,0.134534378870821,0.37789991131845
8,0.1,0.178,"Sagenista_61_1",10.054844606947,0.108565680044917,0.453278212665704,0.134534378870821,0.37789991131845
0,0.3,0.178,"Sagenista_61_1",10.054844606947,0.111781823641368,0.430438582671879,0.134534378870821,0.37789991131845
0.1,0.3,0.178,"Sagenista_61_1",10.054844606947,0.111250983966584,0.433821538904618,0.134534378870821,0.37789991131845
1,0.3,0.178,"Sagenista_61_1",10.054844606947,0.109225082767377,0.444282413007376,0.134534378870821,0.37789991131845
3,0.3,0.178,"Sagenista_61_1",10.054844606947,0.10980563573645,0.424826400500903,0.134534378870821,0.37789991131845
8,0.3,0.178,"Sagenista_61_1",10.054844606947,0.107901361504382,0.458936280585738,0.134534378870821,0.37789991131845
0,0.5,0.178,"Sagenista_61_1",10.054844606947,0.110234490275024,0.433535576526182,0.134534378870821,0.37789991131845
0.1,0.5,0.178,"Sagenista_61_1",10.054844606947,0.109984625102162,0.434877384598681,0.134534378870821,0.37789991131845
1,0.5,0.178,"Sagenista_61_1",10.054844606947,0.108869312553307,0.43681489987461,0.134534378870821,0.37789991131845
3,0.5,0.178,"Sagenista_61_1",10.054844606947,0.10974662956304,0.418854632271579,0.134534378870821,0.37789991131845
8,0.5,0.178,"Sagenista_61_1",10.054844606947,0.107901361504382,0.458936280585738,0.134534378870821,0.37789991131845
0,0.7,0.178,"Sagenista_61_1",10.054844606947,0.10972920536877,0.432820883009669,0.134534378870821,0.37789991131845
0.1,0.7,0.178,"Sagenista_61_1",10.054844606947,0.109484689507422,0.433979890275286,0.134534378870821,0.37789991131845
1,0.7,0.178,"Sagenista_61_1",10.054844606947,0.109594235016695,0.421136542386786,0.134534378870821,0.37789991131845
