"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"Verrucomicrobia_22_1",10.054844606947,0.453643546740684,0.399177447245504,0.538248087422503,0.385408652132113
0.1,0.1,1,"Verrucomicrobia_22_1",10.054844606947,0.450926330732932,0.405472991324175,0.538248087422503,0.385408652132113
1,0.1,1,"Verrucomicrobia_22_1",10.054844606947,0.432394158749959,0.476648046463177,0.538248087422503,0.385408652132113
3,0.1,1,"Verrucomicrobia_22_1",10.054844606947,0.427638896648392,0.494702267756878,0.538248087422503,0.385408652132113
8,0.1,1,"Verrucomicrobia_22_1",10.054844606947,0.417417365556047,0.520530934749688,0.538248087422503,0.385408652132113
0,0.3,1,"Verrucomicrobia_22_1",10.054844606947,0.460074525573152,0.375720223347226,0.538248087422503,0.385408652132113
0.1,0.3,1,"Verrucomicrobia_22_1",10.054844606947,0.45806682129968,0.38441559340659,0.538248087422503,0.385408652132113
1,0.3,1,"Verrucomicrobia_22_1",10.054844606947,0.440638413198005,0.466343671023299,0.538248087422503,0.385408652132113
3,0.3,1,"Verrucomicrobia_22_1",10.054844606947,0.428114308942876,0.493404714769803,0.538248087422503,0.385408652132113
8,0.3,1,"Verrucomicrobia_22_1",10.054844606947,0.417417365556047,0.520530934749688,0.538248087422503,0.385408652132113
0,0.5,1,"Verrucomicrobia_22_1",10.054844606947,0.460003581582937,0.392799632642538,0.538248087422503,0.385408652132113
0.1,0.5,1,"Verrucomicrobia_22_1",10.054844606947,0.457142588528162,0.407686393601151,0.538248087422503,0.385408652132113
1,0.5,1,"Verrucomicrobia_22_1",10.054844606947,0.441534023817185,0.466001415167497,0.538248087422503,0.385408652132113
3,0.5,1,"Verrucomicrobia_22_1",10.054844606947,0.428114308942876,0.493404714769803,0.538248087422503,0.385408652132113
8,0.5,1,"Verrucomicrobia_22_1",10.054844606947,0.417417365556047,0.520530934749688,0.538248087422503,0.385408652132113
0,0.7,1,"Verrucomicrobia_22_1",10.054844606947,0.459812367177965,0.405374496628441,0.538248087422503,0.385408652132113
0.1,0.7,1,"Verrucomicrobia_22_1",10.054844606947,0.457520660342398,0.415220979342991,0.538248087422503,0.385408652132113
