"theta","alpha","lambda","target","cv_min_dat_perc","rmse","rho","const_pred_rmse","const_pred_rho"
0,0.1,1,"temperature",10.054844606947,1.29325410134768,0.884264900170335,1.33940023895891,0.883015621221586
0.1,0.1,1,"temperature",10.054844606947,1.29479526956771,0.883964906612423,1.33940023895891,0.883015621221586
1,0.1,1,"temperature",10.054844606947,1.29682018357301,0.883512412118508,1.33940023895891,0.883015621221586
3,0.1,1,"temperature",10.054844606947,1.28402950987121,0.885898077655065,1.33940023895891,0.883015621221586
8,0.1,1,"temperature",10.054844606947,1.25439462017786,0.891593551368043,1.33940023895891,0.883015621221586
0,0.3,1,"temperature",10.054844606947,1.30749781752898,0.881874119981994,1.33940023895891,0.883015621221586
0.1,0.3,1,"temperature",10.054844606947,1.30620342955899,0.88206093458892,1.33940023895891,0.883015621221586
1,0.3,1,"temperature",10.054844606947,1.2969808738348,0.883495573640181,1.33940023895891,0.883015621221586
3,0.3,1,"temperature",10.054844606947,1.28402950987121,0.885898077655065,1.33940023895891,0.883015621221586
8,0.3,1,"temperature",10.054844606947,1.25439462017786,0.891593551368043,1.33940023895891,0.883015621221586
0,0.5,1,"temperature",10.054844606947,1.30749781752898,0.881874119981994,1.33940023895891,0.883015621221586
0.1,0.5,1,"temperature",10.054844606947,1.30620342955899,0.88206093458892,1.33940023895891,0.883015621221586
1,0.5,1,"temperature",10.054844606947,1.2969808738348,0.883495573640181,1.33940023895891,0.883015621221586
3,0.5,1,"temperature",10.054844606947,1.28402950987121,0.885898077655065,1.33940023895891,0.883015621221586
8,0.5,1,"temperature",10.054844606947,1.25439462017786,0.891593551368043,1.33940023895891,0.883015621221586
0,0.7,1,"temperature",10.054844606947,1.30749781752898,0.881874119981994,1.33940023895891,0.883015621221586
0.1,0.7,1,"temperature",10.054844606947,1.30620342955899,0.88206093458892,1.33940023895891,0.883015621221586
1,0.7,1,"temperature",10.054844606947,1.2969808738348,0.883495573640181,1.33940023895891,0.883015621221586
3,0.7,1,"temperature",10.054844606947,1.28402950987121,0.885898077655065,1.33940023895891,0.883015621221586
8,0.7,1,"temperature",10.054844606947,1.25439462017786,0.891593551368043,1.33940023895891,0.883015621221586
0,0.9,1,"temperature",10.054844606947,1.30749781752898,0.881874119981994,1.33940023895891,0.883015621221586
0.1,0.9,1,"temperature",10.054844606947,1.30620342955899,0.88206093458892,1.33940023895891,0.883015621221586
1,0.9,1,"temperature",10.054844606947,1.2969808738348,0.883495573640181,1.33940023895891,0.883015621221586
3,0.9,1,"temperature",10.054844606947,1.28402950987121,0.885898077655065,1.33940023895891,0.883015621221586
8,0.9,1,"temperature",10.054844606947,1.25439462017786,0.891593551368043,1.33940023895891,0.883015621221586
0,0.1,0.178,"temperature",10.054844606947,1.36720304280857,0.872714175483594,1.33940023895891,0.883015621221586
0.1,0.1,0.178,"temperature",10.054844606947,1.35663946909518,0.874533747157043,1.33940023895891,0.883015621221586
1,0.1,0.178,"temperature",10.054844606947,1.29332136395176,0.884982976850569,1.33940023895891,0.883015621221586
3,0.1,0.178,"temperature",10.054844606947,1.24880794319789,0.891777942284944,1.33940023895891,0.883015621221586
8,0.1,0.178,"temperature",10.054844606947,1.25439462017786,0.891593551368043,1.33940023895891,0.883015621221586
0,0.3,0.178,"temperature",10.054844606947,1.26286555228917,0.889519427941103,1.33940023895891,0.883015621221586
0.1,0.3,0.178,"temperature",10.054844606947,1.26519921678556,0.889014638591022,1.33940023895891,0.883015621221586
1,0.3,0.178,"temperature",10.054844606947,1.26824857136537,0.888309135699173,1.33940023895891,0.883015621221586
3,0.3,0.178,"temperature",10.054844606947,1.28400243332753,0.885901084770974,1.33940023895891,0.883015621221586
8,0.3,0.178,"temperature",10.054844606947,1.25439462017786,0.891593551368043,1.33940023895891,0.883015621221586
0,0.5,0.178,"temperature",10.054844606947,1.28271456121759,0.886123706619901,1.33940023895891,0.883015621221586
0.1,0.5,0.178,"temperature",10.054844606947,1.28382337952691,0.885897861653388,1.33940023895891,0.883015621221586
1,0.5,0.178,"temperature",10.054844606947,1.29610112725365,0.883581818398338,1.33940023895891,0.883015621221586
3,0.5,0.178,"temperature",10.054844606947,1.28402950987121,0.885898077655065,1.33940023895891,0.883015621221586
8,0.5,0.178,"temperature",10.054844606947,1.25439462017786,0.891593551368043,1.33940023895891,0.883015621221586
0,0.7,0.178,"temperature",10.054844606947,1.30255123082736,0.882658299107123,1.33940023895891,0.883015621221586
0.1,0.7,0.178,"temperature",10.054844606947,1.30355249560868,0.882436078447278,1.33940023895891,0.883015621221586
1,0.7,0.178,"temperature",10.054844606947,1.2969808738348,0.883495573640181,1.33940023895891,0.883015621221586
3,0.7,0.178,"temperature",10.054844606947,1.28402950987121,0.885898077655065,1.33940023895891,0.883015621221586
8,0.7,0.178,"temperature",10.054844606947,1.25439462017786,0.891593551368043,1.33940023895891,0.883015621221586
0,0.9,0.178,"temperature",10.054844606947,1.30741064445119,0.881878730946598,1.33940023895891,0.883015621221586
0.1,0.9,0.178,"temperature",10.054844606947,1.30618109779394,0.882061162440894,1.33940023895891,0.883015621221586
1,0.9,0.178,"temperature",10.054844606947,1.2969808738348,0.883495573640181,1.33940023895891,0.883015621221586
3,0.9,0.178,"temperature",10.054844606947,1.28402950987121,0.885898077655065,1.33940023895891,0.883015621221586
8,0.9,0.178,"temperature",10.054844606947,1.25439462017786,0.891593551368043,1.33940023895891,0.883015621221586
0,0.1,0.032,"temperature",10.054844606947,1.81932221253834,0.79172724439843,1.33940023895891,0.883015621221586
0.1,0.1,0.032,"temperature",10.054844606947,1.79900115394315,0.795492290013643,1.33940023895891,0.883015621221586
1,0.1,0.032,"temperature",10.054844606947,1.64263866122085,0.824563418858591,1.33940023895891,0.883015621221586
3,0.1,0.032,"temperature",10.054844606947,1.38801980068258,0.870106696607946,1.33940023895891,0.883015621221586
8,0.1,0.032,"temperature",10.054844606947,1.23519174204558,0.895258443022592,1.33940023895891,0.883015621221586
0,0.3,0.032,"temperature",10.054844606947,1.5611983386182,0.838300077265384,1.33940023895891,0.883015621221586
0.1,0.3,0.032,"temperature",10.054844606947,1.54717789346599,0.840815973885607,1.33940023895891,0.883015621221586
1,0.3,0.032,"temperature",10.054844606947,1.42782244212457,0.86233891334199,1.33940023895891,0.883015621221586
3,0.3,0.032,"temperature",10.054844606947,1.2861309262488,0.886334668496014,1.33940023895891,0.883015621221586
8,0.3,0.032,"temperature",10.054844606947,1.25275473792824,0.891906998691811,1.33940023895891,0.883015621221586
0,0.5,0.032,"temperature",10.054844606947,1.4494769240899,0.858325090388512,1.33940023895891,0.883015621221586
